# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.329275523834e-10       4.183248083255e-15       3.376286274002e-13       2.563011253992e-19       8.823912732387e-09       4.770993441586e-10      -1.846713830625e-12 
    3       1.254182985429e-10       5.354348861750e-15       3.820891335000e-13       5.127482615776e-19       5.492001250154e-09       3.417067841729e-10      -1.400602184725e-12 
    4       1.185106005228e-10       4.627243751234e-15       3.591772847921e-13       8.549010558631e-19       3.867924606774e-09       2.609497590451e-10      -9.183421524399e-13 
    5       1.134440347210e-10       3.087725972980e-15       3.071552345005e-13       1.282943606970e-18       2.916877698496e-09       2.076517004795e-10      -5.127285091232e-13 
    6       1.100661306214e-10       1.729020175355e-15       2.482719505195e-13       1.797097232825e-18       2.298531063489e-09       1.701701245767e-10      -2.145552933486e-13 
    7       1.080379325680e-10       9.345877825643e-16       1.956582250467e-13       2.397615052127e-18       1.868820736107e-09       1.426467455648e-10      -2.508997456241e-14 
    8       1.069773935288e-10       5.995469794319e-16       1.552369232087e-13       3.084775910686e-18       1.555147926738e-09       1.216956109788e-10       7.092844041829e-14 
    9       1.066567679258e-10       4.786887513723e-16       1.284647168428e-13       3.858877857653e-18       1.317603565835e-09       1.052457410967e-10       9.722751137334e-14 
   10       1.068934133592e-10       4.117134274605e-16       1.141136151087e-13       4.720231388753e-18       1.132547620894e-09       9.208531079832e-11       7.998766399118e-14 
   11       1.075587658309e-10       3.570035192692e-16       1.096580408517e-13       5.669152677134e-18       9.519393290380e-10       8.135812558439e-11       4.349128926397e-14 
   12       1.086133940518e-10       3.265174407056e-16       1.121214367219e-13       6.705957007343e-18       8.359874335905e-10       7.248725333210e-11       5.206842713602e-15 
   13       1.099176909352e-10       3.278675436073e-16       1.187261263384e-13       7.830952614466e-18       7.404404754031e-10       6.505209722506e-11      -2.335557288812e-14 
   14       1.114014739320e-10       3.524950005558e-16       1.274152975092e-13       9.044435109200e-18       6.606438999500e-10       5.856108999564e-11      -3.800977619877e-14 
   15       1.130885674444e-10       3.905396929338e-16       1.368792159969e-13       1.034668264151e-17       5.932347238152e-10       5.305928750298e-11      -3.939664461602e-14 
