# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.080142547122e-10       3.447520049738e-15      -1.011081657039e-12       0.000000000000e+00       7.678396910884e-09       1.160758587098e-09      -1.752541489877e-12 
    3       4.945077733665e-10       3.636219524410e-15      -8.610351551719e-13       0.000000000000e+00       4.659965397723e-09       7.949242525408e-10      -1.158892672386e-12 
    4       4.847125234529e-10       2.536352062866e-15      -4.468149195352e-13       0.000000000000e+00       3.203282817971e-09       5.985821046687e-10      -5.759303768941e-13 
    5       4.723798822721e-10       1.644680638854e-15       4.065112487606e-14       0.000000000000e+00       2.368227229001e-09       4.761303172699e-10      -1.346595011268e-13 
    6       4.574022131932e-10       1.544825812561e-15       4.538164157628e-13       0.000000000000e+00       1.834153335675e-09       3.922248877455e-10       1.361175493261e-13 
    7       4.409061513266e-10       1.917365459884e-15       7.130988636401e-13       0.000000000000e+00       1.467902005002e-09       3.312634455116e-10       2.527935516424e-13 
    8       4.240349460234e-10       2.232309614264e-15       8.041146514407e-13       0.000000000000e+00       1.203828827235e-09       2.850942165641e-10       2.555479097630e-13 
    9       4.076013386354e-10       2.245986817274e-15       7.593206529582e-13       0.000000000000e+00       1.006166813511e-09       2.490280538834e-10       1.920740115955e-13 
   10       3.920279479014e-10       2.027685773514e-15       6.342445373579e-13       0.000000000000e+00       8.539500247633e-10       2.201734906793e-10       1.053956270933e-13 
   11       3.774097266036e-10       1.753534083651e-15       4.857617579813e-13       0.000000000000e+00       7.229165370219e-10       1.989854191720e-10       3.515269443282e-14 
   12       3.637951160211e-10       1.548483434783e-15       3.567931808276e-13       0.000000000000e+00       6.273928067293e-10       1.771137880696e-10      -2.532032296170e-14 
   13       3.511363942059e-10       1.458391654820e-15       2.698254603514e-13       0.000000000000e+00       5.509983277527e-10       1.616185638218e-10      -5.408667845128e-14 
   14       3.395124072494e-10       1.486542071952e-15       2.275617191495e-13       0.000000000000e+00       4.859827239639e-10       1.450524005437e-10      -6.699516172739e-14 
   15       3.290075107163e-10       1.623119530620e-15       2.185876219123e-13       0.000000000000e+00       4.329533085629e-10       1.338029786965e-10      -6.529786384012e-14 
   16       3.194465757846e-10       1.851026365848e-15       2.251293975060e-13       0.000000000000e+00       3.867530969299e-10       1.219509384559e-10      -6.487331658993e-14 
   17       3.108494570429e-10       2.148583207408e-15       2.310055181794e-13       0.000000000000e+00       3.482511285441e-10       1.129833168137e-10      -6.732851776711e-14 
   18       3.031500862972e-10       2.490579730877e-15       2.257233073052e-13       0.000000000000e+00       3.147210921282e-10       1.051092304534e-10      -7.630890368638e-14 
   19       2.963800757309e-10       2.856816160513e-15       2.077212333342e-13       0.000000000000e+00       2.853935277205e-10       9.774709821535e-11      -9.073472857753e-14 
   20       2.903494121417e-10       3.225795150094e-15       1.792528898364e-13       0.000000000000e+00       2.599267584801e-10       9.145650665493e-11      -1.063202736153e-13 
   21       2.850572667714e-10       3.584647005800e-15       1.463936679006e-13       0.000000000000e+00       2.378330588264e-10       8.609818704749e-11      -1.198039129564e-13 
   22       2.804093940701e-10       3.926220537334e-15       1.169979476907e-13       0.000000000000e+00       2.182047642747e-10       8.120291846505e-11      -1.283674181585e-13 
   23       2.763508388872e-10       4.260420493625e-15       9.477448634481e-14       0.000000000000e+00       2.007346897970e-10       7.666132354842e-11      -1.319222219362e-13 
   24       2.727500133082e-10       4.607107439879e-15       8.149334806432e-14       0.000000000000e+00       1.850944761904e-10       7.242796680774e-11      -1.316441981710e-13 
   25       2.696224483082e-10       4.990984600209e-15       7.567964255162e-14       0.000000000000e+00       1.711242503457e-10       6.849241968747e-11      -1.291567691293e-13 
   26       2.669596016805e-10       5.437020207248e-15       7.406646814636e-14       0.000000000000e+00       1.585772603205e-10       6.481905101243e-11      -1.263253689149e-13 
   27       2.647361956642e-10       5.947305938818e-15       7.291071868035e-14       0.000000000000e+00       1.472914787395e-10       6.137562898738e-11      -1.239204716280e-13 
   28       2.628806286319e-10       6.513524060519e-15       6.841670446972e-14       0.000000000000e+00       1.370541996451e-10       5.811353438498e-11      -1.223011443383e-13 
   29       2.613973285875e-10       7.119512005450e-15       6.012765022826e-14       0.000000000000e+00       1.278043485088e-10       5.503866070668e-11      -1.212739478153e-13 
   30       2.602621503459e-10       7.742358450474e-15       4.878310280389e-14       0.000000000000e+00       1.194350735025e-10       5.215223559732e-11      -1.203626108621e-13 
   31       2.594069862012e-10       8.359823735048e-15       3.536525016054e-14       0.000000000000e+00       1.117665134174e-10       4.943665689337e-11      -1.190494126942e-13 
   32       2.588282413265e-10       8.975399892950e-15       2.084447113746e-14       0.000000000000e+00       1.047542457392e-10       4.689614157739e-11      -1.172475298755e-13 
   33       2.585091358764e-10       9.602901303782e-15       6.372868064812e-15       0.000000000000e+00       9.834443524567e-11       4.452709721024e-11      -1.150004854695e-13 
   34       2.584073090975e-10       1.025866475954e-14      -7.024279879365e-15       0.000000000000e+00       9.244225063127e-11       4.231575994843e-11      -1.124533575064e-13 
   35       2.585266930562e-10       1.095579732743e-14      -1.981205595712e-14       0.000000000000e+00       8.701387465857e-11       4.027410631960e-11      -1.101754587467e-13 
   36       2.588649199995e-10       1.170825876313e-14      -3.307767329652e-14       0.000000000000e+00       8.201200165731e-11       3.841412636248e-11      -1.089626074180e-13 
   37       2.594026962484e-10       1.252743777807e-14      -4.793609725010e-14       0.000000000000e+00       7.736762300331e-11       3.673777043001e-11      -1.094872877108e-13 
   38       2.601423055757e-10       1.340465399054e-14      -6.465234686833e-14       0.000000000000e+00       7.306796049952e-11       3.523879842068e-11      -1.113574166935e-13 
