# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.224743902089e-09       6.322319453303e-15       2.195799227142e-12       3.349112220271e-19       8.902921047280e-09       3.405313719390e-11      -2.276575287655e-12 
    3       1.190194168266e-09       8.087349010949e-15       2.400506666154e-12       6.699026249616e-19       5.660412177039e-09       8.586252342514e-11      -1.725660025529e-12 
    4       1.140159568803e-09       6.961270356484e-15       2.240864528190e-12       1.116682359444e-18       4.010213886587e-09       8.948267624605e-11      -1.130406616839e-12 
    5       1.088372238189e-09       4.596207094091e-15       1.902630594366e-12       1.675356745423e-18       3.038630570225e-09       8.189938115419e-11      -6.269581208739e-13 
    6       1.038687309892e-09       2.521463908894e-15       1.499669583276e-12       2.346058063686e-18       2.402927961509e-09       7.235495500789e-11      -2.536776310228e-13 
    7       9.923025360864e-10       1.333721144120e-15       1.105878053998e-12       3.128944005116e-18       1.958284062942e-09       6.318667482412e-11      -1.383147781102e-14 
    8       9.493904161398e-10       8.639535154378e-16       7.622700215765e-13       4.024196884716e-18       1.633764484918e-09       5.510544917636e-11       1.094384886631e-13 
    9       9.097836677392e-10       7.133135377876e-16       4.876024841397e-13       5.032022567804e-18       1.389180996382e-09       4.826721269674e-11       1.436088021896e-13 
   10       8.733469670277e-10       6.196693904881e-16       2.859946461463e-13       6.152649058783e-18       1.199252918693e-09       4.252047119901e-11       1.199150977681e-13 
   11       8.397627200519e-10       5.221965472716e-16       1.523530377638e-13       7.386324710145e-18       9.999259251360e-10       3.648196960650e-11       6.787611783872e-14 
   12       8.087619140392e-10       4.534935603052e-16       7.659113747549e-14       8.733316020698e-18       8.797086032788e-10       3.306664753831e-11       1.136417505910e-14 
   13       7.801705652999e-10       4.325047928901e-16       4.675823139986e-14       1.019390500692e-17       7.809306665786e-10       2.781735200028e-11      -3.480076695183e-14 
   14       7.538073398417e-10       4.372826213522e-16       5.085579194369e-14       1.176838614931e-17       6.979368767753e-10       2.558708962296e-11      -6.197171902890e-14 
   15       7.294792009717e-10       4.352273524971e-16       7.792238353480e-14       1.345706293592e-17       6.278055600289e-10       2.337897092100e-11      -7.000057931340e-14 
   16       7.068966007903e-10       4.147862820339e-16       1.186866749862e-13       1.526024404632e-17       5.682890816406e-10       1.849141867840e-11      -6.404672135341e-14 
   17       6.860472641404e-10       3.889243014578e-16       1.656929868603e-13       1.717823924141e-17       5.165595658151e-10       1.721340095049e-11      -4.793790986316e-14 
   18       6.667164278555e-10       3.796170227915e-16       2.132965071308e-13       1.921135525402e-17       4.714522347717e-10       1.614174376217e-11      -2.946605002549e-14 
   19       6.489878453271e-10       3.955759394271e-16       2.580496388770e-13       2.135989031878e-17       4.324493546419e-10       1.435870297715e-11      -1.314100113013e-14 
   20       6.324891469836e-10       4.390171160326e-16       2.970663281087e-13       2.362413194534e-17       3.979211199132e-10       1.287152925836e-11      -2.026216579010e-15 
   21       6.172629976608e-10       5.050581912330e-16       3.290215253410e-13       2.600435012869e-17       3.673587618146e-10       1.169027677784e-11       3.423638156420e-15 
   22       6.031646976143e-10       5.855692130434e-16       3.534662633689e-13       2.850079535270e-17       3.401183112743e-10       1.049422092683e-11       4.104509820151e-15 
   23       5.901901171343e-10       6.786986130277e-16       3.705480125105e-13       3.111369362296e-17       3.158511447868e-10       9.314071721265e-12       1.571025967616e-15 
   24       5.781655158529e-10       7.843356951184e-16       3.810081486255e-13       3.384324437952e-17       2.940056413990e-10       8.271157999518e-12      -2.155697860117e-15 
   25       5.670782483189e-10       9.024582750285e-16       3.858884746919e-13       3.668961832115e-17       2.743463784491e-10       7.321846977581e-12      -5.903423545431e-15 
   26       5.568105075507e-10       1.033035319317e-15       3.866688572096e-13       3.965295453137e-17       2.565435430716e-10       6.375398701241e-12      -8.788939585305e-15 
   27       5.473032789973e-10       1.176550122628e-15       3.849046493695e-13       4.273336072339e-17       2.403961575365e-10       5.464662062582e-12      -1.074690910235e-14 
   28       5.384240939875e-10       1.333693696092e-15       3.823056952230e-13       4.593091166807e-17       2.256347207869e-10       4.657709095861e-12      -1.201404210391e-14 
