# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.080145043043e-10       3.447685367924e-15      -1.011081663069e-12       1.653183095263e-19       7.678396910884e-09       1.160758587098e-09      -1.752541489877e-12 
    3       4.945082735023e-10       3.636550174742e-15      -8.610351819030e-13       3.306515607952e-19       4.659965397723e-09       7.949242525408e-10      -1.158892672386e-12 
    4       4.847133590941e-10       2.536903178468e-15      -4.468149958024e-13       5.511217158473e-19       3.203282817971e-09       5.985821046687e-10      -5.759303768941e-13 
    5       4.723811395584e-10       1.645507373286e-15       4.065095265999e-14       8.267557002805e-19       2.368227229001e-09       4.761303172699e-10      -1.346595011268e-13 
    6       4.574039796606e-10       1.545983346232e-15       4.538160807000e-13       1.157592784971e-18       1.834153335675e-09       3.922248877455e-10       1.361175493261e-13 
    7       4.409085160774e-10       1.918909006986e-15       7.130982763168e-13       1.543687761262e-18       1.467902005002e-09       3.312634455116e-10       2.527935516424e-13 
    8       4.240379998416e-10       2.234294430033e-15       8.041136988548e-13       1.985114222006e-18       1.203828827235e-09       2.850942165641e-10       2.555479097630e-13 
    9       4.076051740419e-10       2.248468205221e-15       7.593191984354e-13       2.481967706287e-18       1.006166813511e-09       2.490280538834e-10       1.920740115955e-13 
   10       3.920326591447e-10       2.030719092181e-15       6.342424214410e-13       3.034368460831e-18       8.539500247633e-10       2.201734906793e-10       1.053956270933e-13 
   11       3.774154095849e-10       1.757174752316e-15       4.857588002281e-13       3.642463579549e-18       7.229165370219e-10       1.989854191720e-10       3.515269443282e-14 
   12       3.638018681513e-10       1.552786937463e-15       3.567891824100e-13       4.306428304069e-18       6.273928067293e-10       1.771137880696e-10      -2.532032296170e-14 
   13       3.511443141983e-10       1.463413541874e-15       2.698202073099e-13       5.026466301788e-18       5.509983277527e-10       1.616185638218e-10      -5.408667845128e-14 
   14       3.395215948492e-10       1.492337958581e-15       2.275549861232e-13       5.802808782453e-18       4.859827239639e-10       1.450524005437e-10      -6.699516172739e-14 
   15       3.290180663723e-10       1.629745091592e-15       2.185791761443e-13       6.635712367648e-18       4.329533085629e-10       1.338029786965e-10      -6.529786384012e-14 
