# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       9.951332648556e-10       6.426924224520e-15       2.027844789526e-12       3.300865679928e-19       8.878191545522e-09       8.048811734907e-11      -2.259513922341e-12 
    3       9.567346383060e-10       8.338097192648e-15       2.245354821618e-12       6.602828869454e-19       5.646420294330e-09       1.112017109472e-10      -1.714190976770e-12 
    4       9.051691912690e-10       7.299380091681e-15       2.114396975086e-12       1.100713637840e-18       4.000130887261e-09       1.055638540649e-10      -1.121135041386e-12 
    5       8.529770432248e-10       4.929776647281e-15       1.802468259036e-12       1.651520360731e-18       3.030738119813e-09       9.306671743438e-11      -6.134247345646e-13 
    6       8.037785388059e-10       2.823951410541e-15       1.417886808166e-12       2.312875905600e-18       2.396524995603e-09       8.063099224961e-11      -2.293515004593e-13 
    7       7.583489493480e-10       1.657476620722e-15       1.034387513959e-12       3.084981813336e-18       1.952833618089e-09       6.968936089973e-11       2.565143156499e-14 
    8       7.167829566471e-10       1.272951004933e-15       6.959966989237e-13       3.968065270001e-18       1.628907245101e-09       6.039529321047e-11       1.648866590950e-13 
    9       6.789419692722e-10       1.211196488798e-15       4.249131027685e-13       4.962375686403e-18       1.384769624871e-09       5.258271133256e-11       2.118903811817e-13 
   10       6.444276624236e-10       1.137413421215e-15       2.277440684237e-13       6.068180962732e-18       1.195254708118e-09       4.606388924857e-11       1.946048558757e-13 
   11       6.129231814244e-10       9.673249785292e-16       1.007288075014e-13       7.285763505104e-18       9.960508481409e-10       4.031890228494e-11       1.413544066522e-13 
   12       5.841667217581e-10       7.727974467719e-16       3.379761117961e-14       8.615416067162e-18       8.766737040251e-10       3.391019556961e-11       7.423741652781e-14 
   13       5.578594582750e-10       6.388881442525e-16       1.382402434964e-14       1.005743749514e-17       7.776091984503e-10       3.117601938952e-11       1.185011760879e-14 
   14       5.337600046400e-10       5.883033721556e-16       2.725113264916e-14       1.161212845886e-17       6.949404162817e-10       2.819250973567e-11      -3.622906362005e-14 
   15       5.117476951248e-10       5.885073637267e-16       6.176410818728e-14       1.327978725358e-17       6.253565830170e-10       2.340355585511e-11      -6.683868071157e-14 
   16       4.916632366836e-10       5.953507018269e-16       1.070417850785e-13       1.506070575863e-17       5.655358898114e-10       2.169080073120e-11      -7.945001507010e-14 
   17       4.732462474443e-10       5.859347589674e-16       1.551500046097e-13       1.695516563756e-17       5.140362666218e-10       1.980371889632e-11      -7.899473560144e-14 
   18       4.562945988518e-10       5.641317199854e-16       2.005934792936e-13       1.896343479658e-17       4.691611661806e-10       1.790517848313e-11      -7.065016596431e-14 
   19       4.408832403134e-10       5.449147504762e-16       2.405435749228e-13       2.108576463174e-17       4.302254567727e-10       1.629839114052e-11      -5.842222005499e-14 
   20       4.267126850174e-10       5.461428775781e-16       2.731760248379e-13       2.332238662347e-17       3.958029028072e-10       1.470871826725e-11      -4.662893304956e-14 
   21       4.137732512663e-10       5.743911771588e-16       2.982249508892e-13       2.567351164534e-17       3.653801067109e-10       1.321154902723e-11      -3.674958853806e-14 
   22       4.018984538870e-10       6.309894415320e-16       3.164406886422e-13       2.813932643721e-17       3.382438660793e-10       1.196547884465e-11      -2.912683743281e-14 
   23       3.910536038822e-10       7.128161947006e-16       3.288441528977e-13       3.071999532123e-17       3.140511724171e-10       1.090694101815e-11      -2.321711540237e-14 
   24       3.810839456306e-10       8.144660960969e-16       3.368861020223e-13       3.341565659128e-17       2.922802676718e-10       9.887846676092e-12      -1.805866940499e-14 
   25       3.719706158725e-10       9.339507504537e-16       3.416927198168e-13       3.622642746842e-17       2.726964979244e-10       8.872470752848e-12      -1.320694911046e-14 
   26       3.636203167258e-10       1.070100021600e-15       3.444983006584e-13       3.915239942008e-17       2.549624735736e-10       7.864933948541e-12      -8.387118567985e-15 
   27       3.559805095762e-10       1.223017236357e-15       3.463738352220e-13       4.219364426059e-17       2.388756332549e-10       6.922664367428e-12      -3.753468398622e-15 
   28       3.489419336423e-10       1.392898917028e-15       3.483667842353e-13       4.535021137671e-17       2.241677372031e-10       6.111804295509e-12       3.489452896053e-16 
   29       3.425132963340e-10       1.579189224809e-15       3.509580427115e-13       4.862214263765e-17       2.107714480822e-10       5.437681312616e-12       3.403839131434e-15 
   30       3.366531341601e-10       1.780751744992e-15       3.544670636510e-13       5.200945958596e-17       1.985516781515e-10       4.876907121068e-12       4.769179987842e-15 
   31       3.312481086290e-10       1.996566484078e-15       3.591328490498e-13       5.551216522163e-17       1.872703649702e-10       4.398511136443e-12       3.905572627338e-15 
   32       3.262984607932e-10       2.227977469985e-15       3.648101858316e-13       5.913027040754e-17       1.768775622272e-10       3.993120320076e-12       1.120375372420e-15 
   33       3.217860378454e-10       2.477315697935e-15       3.711413500654e-13       6.286377639924e-17       1.673085677196e-10       3.653384489264e-12      -2.875746071841e-15 
   34       3.176474881526e-10       2.746653549975e-15       3.776570273675e-13       6.671267489293e-17       1.584397456827e-10       3.365905372899e-12      -7.239641466683e-15 
