# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.203190644051e-09       6.359711062110e-15       2.202792297663e-12       3.333690471920e-19       9.020010197677e-09       3.381692225261e-11      -2.267556190318e-12 
    3       1.166118070007e-09       8.159424314014e-15       2.415533684807e-12       6.668291772127e-19       5.651218579126e-09       8.554275101578e-11      -1.720575678315e-12 
    4       1.113825301338e-09       7.055025581207e-15       2.262151116243e-12       1.111583586180e-18       3.998628663446e-09       8.914255707125e-11      -1.125769214907e-12 
    5       1.060046877729e-09       4.686172839351e-15       1.924353462557e-12       1.667751523539e-18       3.026951481141e-09       8.141002495779e-11      -6.206732368738e-13 
    6       1.008621811308e-09       2.602824216957e-15       1.516823178635e-12       2.335480113850e-18       2.393793724357e-09       7.178740959016e-11      -2.438531597747e-13 
    7       9.607348581630e-10       1.424509386492e-15       1.115518526570e-12       3.114943019333e-18       1.952556311156e-09       6.268728111908e-11       6.816793284309e-16 
    8       9.165526248858e-10       9.816106986035e-16       7.635773702255e-13       4.006338796521e-18       1.629614399984e-09       5.469327032450e-11       1.285151163445e-13 
    9       8.758475281596e-10       8.548423606988e-16       4.816218454906e-13       5.009888935124e-18       1.384653599851e-09       4.782767001413e-11       1.658145449434e-13 
   10       8.384425379140e-10       7.623461391034e-16       2.748098455286e-13       6.125835571975e-18       1.193624537845e-09       4.199606489374e-11       1.428425037748e-13 
   11       8.040447422881e-10       6.414517137397e-16       1.384252904870e-13       7.354438880005e-18       9.990415004543e-10       3.447729352348e-11       8.848760146873e-14 
   12       7.724074614490e-10       5.403918389299e-16       6.228411159352e-14       8.695974141431e-18       8.787097847453e-10       3.213960720050e-11       2.757484556496e-14 
   13       7.433679378566e-10       4.969000884300e-16       3.386321335219e-14       1.015072852533e-17       7.801948880700e-10       2.582265565116e-11      -2.540524491313e-14 
   14       7.165968206076e-10       4.967375351173e-16       4.041105090566e-14       1.171899760215e-17       6.971077687663e-10       2.464786219171e-11      -5.981078754347e-14 
   15       6.918576737182e-10       5.007119105730e-16       7.017571080807e-14       1.340108164094e-17       6.270154314239e-10       2.235862222058e-11      -7.506949014571e-14 
