# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08702 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345527588047e-02       2.461448423111e+04 
       1.358395435018e-02       2.465904234194e+04 
       1.371266910065e-02       2.470127851958e+04 
       1.384142024103e-02       2.474148089340e+04 
       1.397020790352e-02       2.477946145377e+04 
       1.409903224307e-02       2.481542954147e+04 
       1.422789343695e-02       2.484936997477e+04 
       1.435679168453e-02       2.488121789420e+04 
       1.448572720696e-02       2.491111205072e+04 
       1.461470024692e-02       2.493897694592e+04 
       1.474371106846e-02       2.496495708379e+04 
       1.487275995676e-02       2.498894307759e+04 
       1.500184721801e-02       2.501100312056e+04 
       1.513097317926e-02       2.503120023029e+04 
       1.526013818832e-02       2.504955199408e+04 
       1.538934261368e-02       2.506608288642e+04 
       1.551858684449e-02       2.508007495554e+04 
       1.564787129043e-02       2.509368799595e+04 
       1.577719638180e-02       2.510478568632e+04 
       1.590656256948e-02       2.511431888788e+04 
       1.603597032493e-02       2.512195566778e+04 
       1.616542014031e-02       2.512793931948e+04 
       1.629491252848e-02       2.513227026644e+04 
       1.642444802314e-02       2.513496332124e+04 
       1.655402717889e-02       2.513592688254e+04 
       1.668365057138e-02       2.513549392574e+04 
       1.681331879744e-02       2.513335183564e+04 
       1.694303247526e-02       2.512955437632e+04 
       1.707279224455e-02       2.512432592814e+04 
       1.720259876672e-02       2.511756434466e+04 
       1.733245272511e-02       2.510930065699e+04 
       1.746235482524e-02       2.509957372467e+04 
       1.759230579499e-02       2.508839618354e+04 
       1.772230638492e-02       2.507577985186e+04 
       1.785235736854e-02       2.506171490395e+04 
       1.798245954256e-02       2.504581681066e+04 
       1.811261372727e-02       2.502874674999e+04 
       1.824282076680e-02       2.501058602932e+04 
       1.837308152951e-02       2.499110319859e+04 
       1.850339690834e-02       2.497103273666e+04 
       1.863376782116e-02       2.494905175467e+04 
       1.876419521122e-02       2.492561105524e+04 
       1.889468004751e-02       2.490108572875e+04 
       1.902522332522e-02       2.487517792316e+04 
       1.915582606618e-02       2.484752815804e+04 
       1.928648931930e-02       2.481879160458e+04 
       1.941721416109e-02       2.478939500587e+04 
       1.954800169616e-02       2.475885002835e+04 
       1.967885305769e-02       2.472822495565e+04 
       1.980976940803e-02       2.469536566005e+04 
       1.994075193922e-02       2.466070778288e+04 
       2.007180187358e-02       2.462577235797e+04 
       2.020292046429e-02       2.458934740651e+04 
       2.033410899604e-02       2.455333421039e+04 
       2.046536878563e-02       2.451469413007e+04 
       2.059670118267e-02       2.447535834626e+04 
       2.072810757023e-02       2.443482376729e+04 
       2.085958936555e-02       2.439391684055e+04 
       2.099114802076e-02       2.435253687867e+04 
       2.112278502367e-02       2.430865710870e+04 
       2.125450189849e-02       2.426462456546e+04 
       2.138630020665e-02       2.421981421662e+04 
       2.151818154764e-02       2.417407056580e+04 
       2.165014755983e-02       2.412760767018e+04 
       2.178219992138e-02       2.408011179269e+04 
       2.191434035112e-02       2.403250865395e+04 
       2.204657060948e-02       2.398258780029e+04 
       2.217889249947e-02       2.393256423845e+04 
       2.231130786766e-02       2.388189063101e+04 
       2.244381860522e-02       2.383029317441e+04 
       2.257642664893e-02       2.377879783926e+04 
       2.270913398235e-02       2.372498350998e+04 
       2.284194263683e-02       2.367181129886e+04 
       2.297485469279e-02       2.361676461243e+04 
       2.310787228080e-02       2.356228265632e+04 
       2.324099758290e-02       2.350573249366e+04 
       2.337423283381e-02       2.344923248427e+04 
       2.350758032228e-02       2.339187375749e+04 
       2.364104239242e-02       2.333423648854e+04 
       2.377462144510e-02       2.327560049024e+04 
       2.390831993938e-02       2.321647282783e+04 
       2.404214039400e-02       2.315678608429e+04 
       2.417608538894e-02       2.309656803187e+04 
       2.431015756696e-02       2.303582292724e+04 
       2.444435963524e-02       2.297504210966e+04 
       2.457869436709e-02       2.291233100078e+04 
       2.471316460367e-02       2.284992557497e+04 
       2.484777325579e-02       2.278690219735e+04 
       2.498252330579e-02       2.272362420530e+04 
       2.511741780942e-02       2.265933349782e+04 
       2.525245989784e-02       2.259508372383e+04 
       2.538765277968e-02       2.252993347166e+04 
       2.552299974315e-02       2.246460956379e+04 
       2.565850415822e-02       2.239845606013e+04 
       2.579416947888e-02       2.233214369559e+04 
       2.592999924550e-02       2.226568270060e+04 
       2.606599708723e-02       2.219829269557e+04 
       2.620216672453e-02       2.213140063750e+04 
       2.633851197174e-02       2.206290634282e+04 
       2.647503673974e-02       2.199458010766e+04 
       2.661174503880e-02       2.192635654181e+04 
       2.674864098138e-02       2.185693371706e+04 
       2.688572878514e-02       2.178796176022e+04 
       2.702301277603e-02       2.171789585197e+04 
       2.716049739146e-02       2.164828198083e+04 
       2.729818718365e-02       2.157790438331e+04 
       2.743608682303e-02       2.150696438844e+04 
       2.757420110182e-02       2.143606027235e+04 
       2.771253493772e-02       2.136493242137e+04 
       2.785109337773e-02       2.129355795371e+04 
       2.798988160213e-02       2.122180875059e+04 
       2.812890492861e-02       2.114987442500e+04 
       2.826816881658e-02       2.107754235764e+04 
       2.840767887155e-02       2.100508167905e+04 
       2.854744084983e-02       2.093249796299e+04 
       2.868746066328e-02       2.085956067652e+04 
       2.882774438434e-02       2.078647574152e+04 
       2.896829825120e-02       2.071357893887e+04 
       2.910912867318e-02       2.063977096388e+04 
       2.925024223640e-02       2.056612139595e+04 
       2.939164570958e-02       2.049257457951e+04 
       2.953334605015e-02       2.041827109018e+04 
       2.967535041060e-02       2.034458808733e+04 
       2.981766614502e-02       2.026989677114e+04 
       2.996030081607e-02       2.019547047149e+04 
       3.010326220209e-02       2.012086915967e+04 
       3.024655830459e-02       2.004629520073e+04 
       3.039019735607e-02       1.997182465001e+04 
       3.053418782817e-02       1.989652272375e+04 
       3.067853844012e-02       1.982145221908e+04 
       3.082325816768e-02       1.974638681382e+04 
       3.096835625236e-02       1.967118195415e+04 
       3.111384221116e-02       1.959589121384e+04 
       3.125972584666e-02       1.952049398417e+04 
       3.140601725766e-02       1.944507662410e+04 
       3.155272685023e-02       1.936960850284e+04 
       3.169986534935e-02       1.929401785096e+04 
       3.184744381106e-02       1.921839087866e+04 
       3.199547363520e-02       1.914302469834e+04 
       3.214396657874e-02       1.906699653560e+04 
       3.229293476982e-02       1.899123539906e+04 
       3.244239072240e-02       1.891562785397e+04 
       3.259234735171e-02       1.883981469580e+04 
       3.274281799041e-02       1.876386776140e+04 
       3.289381640559e-02       1.868796273128e+04 
       3.304535681670e-02       1.861217606884e+04 
       3.319745391429e-02       1.853617210012e+04 
       3.335012287981e-02       1.846036914817e+04 
       3.350337940642e-02       1.838444881863e+04 
       3.365723972094e-02       1.830835347295e+04 
       3.381172060695e-02       1.823248660553e+04 
       3.396683942914e-02       1.815672264583e+04 
       3.412261415902e-02       1.808086987670e+04 
       3.427906340207e-02       1.800486203625e+04 
       3.443620642637e-02       1.792891695614e+04 
       3.459406319291e-02       1.785309208084e+04 
       3.475265438758e-02       1.777723960443e+04 
       3.491200145510e-02       1.770144922360e+04 
       3.507212663487e-02       1.762582446711e+04 
       3.523305299897e-02       1.754997370823e+04 
       3.539480449249e-02       1.747432254276e+04 
       3.555740597623e-02       1.739861858516e+04 
       3.572088327212e-02       1.732292237814e+04 
       3.588526321144e-02       1.724724489950e+04 
       3.605057368604e-02       1.717171813245e+04 
       3.621684370287e-02       1.709627825544e+04 
       3.638410344207e-02       1.702070509966e+04 
       3.655238431880e-02       1.694517448476e+04 
       3.672171904923e-02       1.687007973453e+04 
       3.689214172089e-02       1.679453102231e+04 
       3.706368786794e-02       1.671907478861e+04 
       3.723639455150e-02       1.664390995714e+04 
       3.741030044564e-02       1.656838127671e+04 
       3.758544592954e-02       1.649320440016e+04 
       3.776187318619e-02       1.641805373583e+04 
       3.793962630828e-02       1.634296545898e+04 
       3.811875141199e-02       1.626764315371e+04 
