# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.342720001214e-10       2.589610123712e-16       8.537608453265e-14       8.444325403227e-20       6.490678256821e-09       3.752066419028e-10      -4.459584790781e-13 
    3       1.290474130246e-10       3.396637632043e-16       9.604291458534e-14       1.689143465970e-19       3.873348596816e-09       2.569962690643e-10      -3.349333054452e-13 
    4       1.241698749015e-10       3.048632449406e-16       9.146663673113e-14       2.815856678437e-19       2.611444673931e-09       1.892221865483e-10      -2.163749600898e-13 
    5       1.207391492370e-10       2.182427734234e-16       8.209514228976e-14       4.224940362720e-19       1.897154792482e-09       1.461657342856e-10      -1.163524342922e-13 
    6       1.186437150401e-10       1.413987284468e-16       7.318035548680e-14       5.916852090158e-19       1.446766060495e-09       1.168586085344e-10      -4.195173098678e-14 
    7       1.175789376454e-10       9.955118034492e-17       6.706728413896e-14       7.892136961415e-19       1.141770198656e-09       9.586157851007e-11       6.319806225684e-15 
    8       1.172728196005e-10       8.619781574775e-17       6.418716455112e-14       1.015142530363e-18       9.244024343030e-10       8.021585460729e-11       3.167961438462e-14 
    9       1.175746664153e-10       8.451328032000e-17       6.411563685083e-14       1.269542989244e-18       7.635109999372e-10       6.821889113092e-11       3.929733628146e-14 
   10       1.183651618770e-10       8.345041537421e-17       6.617701852573e-14       1.552494267323e-18       6.409217203455e-10       5.882050564590e-11       3.506399651118e-14 
   11       1.195208736922e-10       8.159492707879e-17       6.975118550053e-14       1.864083096264e-18       5.385077149936e-10       5.190471002868e-11       2.461101754316e-14 
   12       1.210137084384e-10       8.279884864911e-17       7.436840530223e-14       2.204403312114e-18       4.635225075896e-10       4.566815976836e-11       1.253378988673e-14 
   13       1.227863677403e-10       9.072963334254e-17       7.969685478052e-14       2.573555369966e-18       4.027467747770e-10       4.049043461578e-11       1.959979374120e-15 
   14       1.247476618921e-10       1.065460153958e-16       8.555659184248e-14       2.971645807795e-18       3.527895970706e-10       3.613741777277e-11      -5.429741032389e-15 
   15       1.269402225324e-10       1.296585109634e-16       9.186739163668e-14       3.398786662822e-18       3.112358654458e-10       3.253888892305e-11      -9.127979673822e-15 
   16       1.293228878530e-10       1.593547989119e-16       9.856549608473e-14       3.855094845518e-18       2.763104943930e-10       2.947856721800e-11      -9.717897737086e-15 
   17       1.318510312378e-10       1.955877569767e-16       1.055811854339e-13       4.340691478013e-18       2.466831419990e-10       2.681507883408e-11      -8.299150480717e-15 
   18       1.345212480619e-10       2.388465403052e-16       1.128630401762e-13       4.855701231699e-18       2.212434876372e-10       2.447321089272e-11      -6.130066440707e-15 
   19       1.373424576695e-10       2.895909295179e-16       1.203560701344e-13       5.400251489824e-18       1.995035944096e-10       2.244206731040e-11      -4.016470351865e-15 
   20       1.402685834133e-10       3.481604712492e-16       1.279742002528e-13       5.974471911579e-18       1.805494474653e-10       2.067498369382e-11      -2.660745694866e-15 
   21       1.433115446258e-10       4.149369470483e-16       1.356499441818e-13       6.578493398948e-18       1.640316126365e-10       1.913070373641e-11      -2.229262058180e-15 
   22       1.464681626357e-10       4.903218706221e-16       1.433039566249e-13       7.212447682580e-18       1.495055692117e-10       1.774487091048e-11      -2.633368178378e-15 
   23       1.497311582802e-10       5.749677372753e-16       1.508504302785e-13       7.876466451021e-18       1.367367393279e-10       1.650478321380e-11      -3.613938324339e-15 
   24       1.530718540116e-10       6.696108444707e-16       1.581956254398e-13       8.570680917613e-18       1.253951940759e-10       1.539700222134e-11      -4.793232712952e-15 
   25       1.564979654131e-10       7.749077417701e-16       1.652838133868e-13       9.295221174339e-18       1.153237292034e-10       1.440148894430e-11      -5.847891982287e-15 
   26       1.600114664418e-10       8.914906210021e-16       1.720641536844e-13       1.005021569568e-17       1.063167512831e-10       1.348911817006e-11      -6.478835933837e-15 
   27       1.636060811416e-10       1.020000273222e-15       1.784665949317e-13       1.083579092383e-17       9.824846408854e-11       1.266150119602e-11      -6.633772229001e-15 
   28       1.672636661633e-10       1.161078983024e-15       1.844163050516e-13       1.165207086094e-17       9.096185714896e-11       1.192216206222e-11      -6.371311504000e-15 
   29       1.709896507941e-10       1.315370867022e-15       1.898700574824e-13       1.249917746476e-17       8.440881753889e-11       1.126314783667e-11      -5.845836977622e-15 
   30       1.747845694466e-10       1.483517150796e-15       1.947958729370e-13       1.337722947974e-17       7.850791141929e-11       1.066380728611e-11      -5.286759905311e-15 
   31       1.786380190503e-10       1.666167047285e-15       1.991632180826e-13       1.428634233417e-17       7.312514945733e-11       1.009846000289e-11      -4.931347015638e-15 
   32       1.825515247772e-10       1.864024760813e-15       2.029381145087e-13       1.522663007937e-17       6.822547434945e-11       9.566678601199e-12      -4.812685301341e-15 
   33       1.865214632618e-10       2.077819405326e-15       2.060862229924e-13       1.619820337426e-17       6.376769348651e-11       9.073403888317e-12      -4.892046925187e-15 
   34       1.905364716867e-10       2.308280244612e-15       2.085733088224e-13       1.720116936517e-17       5.968150699522e-11       8.620677293893e-12      -5.111855417483e-15 
   35       1.945941116355e-10       2.556093171976e-15       2.103625380990e-13       1.823563461095e-17       5.594116108027e-11       8.207308572879e-12      -5.395051681419e-15 
   36       1.986881648369e-10       2.821927303438e-15       2.114161062082e-13       1.930170251800e-17       5.251179884885e-11       7.828498364386e-12      -5.642783691221e-15 
   37       2.028087394603e-10       3.106446863581e-15       2.116978873338e-13       2.039947360774e-17       4.934311544676e-11       7.477491190116e-12      -5.760219243593e-15 
   38       2.069610432500e-10       3.410317124933e-15       2.111804105979e-13       2.152905033812e-17       4.642391989394e-11       7.152148154414e-12      -5.750052990841e-15 
   39       2.111516775246e-10       3.734198387387e-15       2.098402185560e-13       2.269053338652e-17       4.374228026678e-11       6.850134594043e-12      -5.649744439281e-15 
   40       2.153829628587e-10       4.078742915178e-15       2.076560985891e-13       2.388402004415e-17       4.126901692987e-11       6.566923107541e-12      -5.507399312276e-15 
   41       2.196535813615e-10       4.444589802255e-15       2.046062486926e-13       2.510960566402e-17       3.896723220431e-11       6.297353641592e-12      -5.372465049675e-15 
   42       2.239619758045e-10       4.832350341522e-15       2.006584817614e-13       2.636738916332e-17       3.682819719851e-11       6.041369740203e-12      -5.262456877878e-15 
   43       2.283032022393e-10       5.242615943942e-15       1.957769609097e-13       2.765746889814e-17       3.484464998350e-11       5.799837929159e-12      -5.186602539446e-15 
   44       2.326674544069e-10       5.675960299052e-15       1.899247132377e-13       2.897994099679e-17       3.300007712034e-11       5.572899584038e-12      -5.154951625310e-15 
   45       2.370437940923e-10       6.132949215287e-15       1.830668272993e-13       3.033490029068e-17       3.127420770042e-11       5.360132302133e-12      -5.174667564465e-15 
   46       2.414336831208e-10       6.614177028469e-15       1.751814761282e-13       3.172244374402e-17       2.966316581393e-11       5.161245282776e-12      -5.237526986362e-15 
   47       2.458407670753e-10       7.120238638632e-15       1.662519798137e-13       3.314266782906e-17       2.816410729406e-11       4.975480865321e-12      -5.328722631072e-15 
   48       2.502668825342e-10       7.651718416215e-15       1.562638368891e-13       3.459566748788e-17       2.676916378162e-11       4.801355133992e-12      -5.430083409955e-15 
   49       2.547118675712e-10       8.209189417309e-15       1.452047922169e-13       3.608153606388e-17       2.546507459639e-11       4.636605730251e-12      -5.519882724974e-15 
   50       2.591743220842e-10       8.793206433119e-15       1.330611572115e-13       3.760036512076e-17       2.423697435588e-11       4.478834689583e-12      -5.579101529184e-15 
   51       2.636545717229e-10       9.404284734807e-15       1.198054354843e-13       3.915224400050e-17       2.308182192785e-11       4.327763734925e-12      -5.612666386732e-15 
   52       2.681521809241e-10       1.004291420268e-14       1.054054556635e-13       4.073726002690e-17       2.199798028233e-11       4.183500947626e-12      -5.633644912355e-15 
   53       2.726649320336e-10       1.070956393831e-14       8.982771958695e-14       4.235549853565e-17       2.098121086186e-11       4.045880229035e-12      -5.657404293712e-15 
   54       2.771886805049e-10       1.140468118963e-14       7.303729382672e-14       4.400704280041e-17       2.002450101747e-11       3.914441819901e-12      -5.701723363226e-15 
   55       2.817188903013e-10       1.212870007983e-14       5.500169184627e-14       4.569197273871e-17       1.912007881211e-11       3.788627765258e-12      -5.781888862958e-15 
   56       2.862560184941e-10       1.288207279598e-14       3.570389833366e-14       4.741036082197e-17       1.826643888367e-11       3.668469799864e-12      -5.894300951691e-15 
   57       2.908012146826e-10       1.366524426550e-14       1.513239038935e-14       4.916227502014e-17       1.746275969777e-11       3.554038226473e-12      -6.028991256481e-15 
