# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.095087079834e-08       4.262258613470e-16      -6.226677653423e-13       2.040827311316e-19       7.467473541145e-09       4.747321725562e-09      -3.378653792645e-13 
    3       9.996467355846e-09       9.897357173336e-16       1.628973830150e-12       4.082495442884e-19       4.506269183886e-09       3.362736934150e-09       3.291504540747e-13 
    4       9.150689527051e-09       2.429706113881e-15       3.859349657870e-12       6.806016895679e-19       3.072087958112e-09       2.607297481684e-09       7.447264118853e-13 
    5       8.384606327337e-09       4.106876828606e-15       5.182722396404e-12       1.021248292868e-18       2.252794035095e-09       2.124441650246e-09       8.616349383689e-13 
    6       7.692881381404e-09       5.168525249045e-15       5.471067773628e-12       1.430323149857e-18       1.731432182251e-09       1.784628478679e-09       7.712356040234e-13 
    7       7.071656320676e-09       5.453803174021e-15       5.068926464739e-12       1.907982951195e-18       1.375933681877e-09       1.531273260558e-09       5.969212254750e-13 
    8       6.515981960506e-09       5.367940821989e-15       4.429994161369e-12       2.454405128434e-18       1.121260755661e-09       1.334694706634e-09       4.285293456108e-13 
    9       6.019931331997e-09       5.363841921017e-15       3.859141622066e-12       3.069785318360e-18       9.317640422012e-10       1.177566305001e-09       3.012055328228e-13 
   10       5.576334472908e-09       5.651237152107e-15       3.439680189096e-12       3.754334451373e-18       7.864830477592e-10       1.049105530691e-09       2.094258023923e-13 
   11       5.178801396656e-09       6.197285218894e-15       3.103533754358e-12       4.508275479972e-18       6.679505647884e-10       9.155213603461e-10       1.289199365717e-13 
   12       4.822868362685e-09       6.867683742981e-15       2.751710848211e-12       5.331839776393e-18       5.751911697884e-10       8.244163704250e-10       5.807178675610e-14 
   13       4.503680902504e-09       7.552655438285e-15       2.336225610939e-12       6.225263243312e-18       5.288432428089e-10       8.164531282876e-10       4.211899035365e-14 
   14       4.216249048506e-09       8.218687038907e-15       1.874399803974e-12       7.188782197765e-18       4.561028128334e-10       7.327113674576e-10      -3.389553735476e-14 
   15       3.956723445224e-09       8.915051827058e-15       1.417947794685e-12       8.222629105155e-18       3.958800238413e-10       6.565021570767e-10      -8.880602858396e-14 
   16       3.721440435487e-09       9.703320206605e-15       1.008483900785e-12       9.327028256610e-18       3.673597048535e-10       6.447851265908e-10      -1.132384798737e-13 
   17       3.507357692689e-09       1.061968780074e-14       6.525669279310e-13       1.050219149797e-17       3.184166930615e-10       5.688816590979e-10      -1.425065495048e-13 
   18       3.311785687582e-09       1.173080176298e-14       3.350233244289e-13       1.174831417720e-17       2.808353783310e-10       5.111019131197e-10      -1.655992154379e-13 
   19       3.134311584076e-09       1.305007105023e-14       3.718105531217e-14       1.306557112058e-17       2.578708761968e-10       4.812366785009e-10      -1.892525431032e-13 
   20       2.970888153914e-09       1.455566836279e-14      -2.637712908706e-13       1.445411364120e-17       2.335018964702e-10       4.413956896999e-10      -2.287781242477e-13 
   21       2.821054104138e-09       1.620503868337e-14      -5.652651801659e-13       1.591406676531e-17       2.100834339799e-10       4.013808482800e-10      -2.732081902332e-13 
   22       2.683170818054e-09       1.793821579162e-14      -8.566391779124e-13       1.744552629373e-17       1.947128914775e-10       3.832123010973e-10      -3.050527436025e-13 
   23       2.556507310148e-09       1.970322304620e-14      -1.129312777620e-12       1.904855927141e-17       1.827580250022e-10       3.729883854766e-10      -3.342955934804e-13 
   24       2.439130957321e-09       2.146391051485e-14      -1.376720589088e-12       2.072320099266e-17       1.666010123533e-10       3.478148185975e-10      -3.764919837744e-13 
   25       2.330490629904e-09       2.327952218935e-14      -1.597399591409e-12       2.246946025110e-17       1.499136471317e-10       3.185516156034e-10      -4.167508655017e-13 
   26       2.229478132842e-09       2.525300047485e-14      -1.793567081106e-12       2.428731487502e-17       1.390276045779e-10       3.041712217043e-10      -4.323712404395e-13 
   27       2.135688945870e-09       2.748296090473e-14      -1.970683697068e-12       2.617671955149e-17       1.314923488476e-10       2.973771613432e-10      -4.255799651487e-13 
