# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.095075196222e-08       4.262244482557e-16      -6.226570997684e-13       2.040963652397e-19       7.467453611745e-09       4.747293367226e-09      -3.378632740521e-13 
    3       9.996406820856e-09       9.897365312350e-16       1.628980053452e-12       4.082767954152e-19       4.506255116958e-09       3.362724373847e-09       3.291519124872e-13 
    4       9.150660461063e-09       2.429705222532e-15       3.859349041887e-12       6.806470713680e-19       3.072077421743e-09       2.607291610516e-09       7.447266945752e-13 
    5       8.384587731159e-09       4.106876271206e-15       5.182716122491e-12       1.021316299582e-18       2.252785673972e-09       2.124438530799e-09       8.616342694349e-13 
    6       7.692869851246e-09       5.168522236032e-15       5.471061096363e-12       1.430418254222e-18       1.731425236905e-09       1.784626579936e-09       7.712342851950e-13 
    7       7.071650353230e-09       5.453802733281e-15       5.068924022483e-12       1.908109604012e-18       1.375927725614e-09       1.531271833067e-09       5.969192926670e-13 
    8       6.515979918097e-09       5.367948623549e-15       4.429995341517e-12       2.454567759922e-18       1.121255565046e-09       1.334693565497e-09       4.285268405419e-13 
    9       6.019930361171e-09       5.363840400638e-15       3.859142064443e-12       3.069988341384e-18       9.317594829058e-10       1.177565512766e-09       3.012039079987e-13 
   10       5.576336485269e-09       5.651229558890e-15       3.439683631555e-12       3.754582266495e-18       7.864790304686e-10       1.049105496689e-09       2.094280511513e-13 
   11       5.178809707337e-09       6.197289660599e-15       3.103546016726e-12       4.508572482231e-18       6.679469068652e-10       9.155219744283e-10       1.289261980650e-13 
   12       4.822881837874e-09       6.867721019250e-15       2.751733013749e-12       5.332190363607e-18       5.751878859283e-10       8.244176216006e-10       5.807977146862e-14 
   13       4.503695045186e-09       7.552730367028e-15       2.336251317807e-12       6.225671825626e-18       5.288403603057e-10       8.164546562304e-10       4.212389702767e-14 
   14       4.216257815835e-09       8.218750637492e-15       1.874415784396e-12       7.189253208125e-18       4.561001741123e-10       7.327122489294e-10      -3.389710599878e-14 
   15       3.956723502227e-09       8.915102331111e-15       1.417943595099e-12       8.223167010313e-18       3.958775615418e-10       6.565022059350e-10      -8.881301253776e-14 
   16       3.721433160626e-09       9.703444137180e-15       1.008468363993e-12       9.327637568253e-18       3.673572605892e-10       6.447839365266e-10      -1.132481174163e-13 
   17       3.507348518120e-09       1.061987873057e-14       6.525531760812e-13       1.050287678356e-17       3.184141064764e-10       5.688792963498e-10      -1.425128566168e-13 
   18       3.311777252224e-09       1.173097444963e-14       3.350126587481e-13       1.174908007029e-17       2.808329396637e-10       5.110997690093e-10      -1.656000380974e-13 
   19       3.134305717356e-09       1.305019812639e-14       3.717823295964e-14       1.306642232901e-17       2.578687827230e-10       4.812356427273e-10      -1.892483652467e-13 
   20       2.970886645297e-09       1.455581994860e-14      -2.637541073594e-13       1.445505495616e-17       2.335000291103e-10       4.413954204604e-10      -2.287710672356e-13 
   21       2.821056608704e-09       1.620527791974e-14      -5.652265790632e-13       1.591510306564e-17       2.100816739512e-10       4.013808183772e-10      -2.732007364699e-13 
   22       2.683174202018e-09       1.793856485691e-14      -8.565943766799e-13       1.744666255140e-17       1.947112284110e-10       3.832121795871e-10      -3.050470880381e-13 
   23       2.556508208712e-09       1.970371003501e-14      -1.129278488738e-12       1.904980055196e-17       1.827564629494e-10       3.729880059207e-10      -3.342931006037e-13 
   24       2.439127100723e-09       2.146457014010e-14      -1.376707916148e-12       2.072455245679e-17       1.665995382613e-10       3.478141702790e-10      -3.764928527152e-13 
   25       2.330482284661e-09       2.328031647616e-14      -1.597408313801e-12       2.247092715108e-17       1.499122286129e-10       3.185506875087e-10      -4.167544024525e-13 
   26       2.229468271872e-09       2.525381000929e-14      -1.793584786804e-12       2.428890255243e-17       1.390261979419e-10       3.041699784042e-10      -4.323759797034e-13 
   27       2.135679777406e-09       2.748372426364e-14      -1.970699710254e-12       2.617843343083e-17       1.314909480113e-10       2.973756894674e-10      -4.255843394296e-13 
   28       2.048306496224e-09       3.003592938261e-14      -2.136585319388e-12       2.813944964760e-17       1.224055985627e-10       2.836556753509e-10      -4.070129127425e-13 
   29       1.967311913843e-09       3.278191314080e-14      -2.297178296169e-12       3.017187858692e-17       1.118968989850e-10       2.634509360134e-10      -3.822441752972e-13 
   30       1.892129547274e-09       3.549310091588e-14      -2.459449867884e-12       3.227562778852e-17       1.019174541178e-10       2.427776658295e-10      -3.563619368480e-13 
   31       1.821576665446e-09       3.794783204931e-14      -2.629517322035e-12       3.445059003757e-17       9.434318384697e-11       2.275711867905e-10      -3.351966576333e-13 
   32       1.755594977465e-09       4.017524147481e-14      -2.801506691572e-12       3.669668785288e-17       8.891691267117e-11       2.173426809148e-10      -3.229307219432e-13 
   33       1.694030103353e-09       4.230536818194e-14      -2.964347748957e-12       3.901384581041e-17       8.450748617350e-11       2.090924050210e-10      -3.236760009988e-13 
   34       1.636346834541e-09       4.451082286700e-14      -3.109175392976e-12       4.140199363101e-17       7.994438019651e-11       1.997948598785e-10      -3.406948114494e-13 
   35       1.582430576251e-09       4.701166178382e-14      -3.245652099936e-12       4.386111540190e-17       7.517595975463e-11       1.896014250486e-10      -3.714429681574e-13 
   36       1.531985391900e-09       5.007781958536e-14      -3.391648078863e-12       4.639122001331e-17       7.050780700640e-11       1.797470710199e-10      -4.106645422239e-13 
   37       1.484489353663e-09       5.390479305748e-14      -3.561848676028e-12       4.899234641848e-17       6.623049908272e-11       1.714017721200e-10      -4.518750166969e-13 
