# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.095087313190e-08       4.260217799911e-16      -6.226677198210e-13       0.000000000000e+00       7.467473541145e-09       4.747321725562e-09      -3.378653792645e-13 
    3       9.996471935730e-09       9.893274814365e-16       1.628974030111e-12       0.000000000000e+00       4.506269183886e-09       3.362736934150e-09       3.291504540747e-13 
    4       9.150696969778e-09       2.429025579732e-15       3.859350221391e-12       0.000000000000e+00       3.072087958112e-09       2.607297481684e-09       7.447264118853e-13 
    5       8.384617142512e-09       4.105855813695e-15       5.182723649037e-12       0.000000000000e+00       2.252794035095e-09       2.124441650246e-09       8.616349383689e-13 
    6       7.692895952779e-09       5.167095569398e-15       5.471070164190e-12       0.000000000000e+00       1.731432182251e-09       1.784628478679e-09       7.712356040234e-13 
    7       7.071674891927e-09       5.451896708030e-15       5.068930559308e-12       0.000000000000e+00       1.375933681877e-09       1.531273260558e-09       5.969212254750e-13 
    8       6.516004626266e-09       5.365489601566e-15       4.430000623646e-12       0.000000000000e+00       1.121260755661e-09       1.334694706634e-09       4.285293456108e-13 
    9       6.019958034436e-09       5.360778248849e-15       3.859151180189e-12       0.000000000000e+00       9.317640422012e-10       1.177566305001e-09       3.012055328228e-13 
   10       5.576365003972e-09       5.647493741821e-15       3.439693589827e-12       0.000000000000e+00       7.864830477592e-10       1.049105530691e-09       2.094258023923e-13 
   11       5.178835405823e-09       6.192795353017e-15       3.103551706430e-12       0.000000000000e+00       6.679505647884e-10       9.155213603461e-10       1.289199365717e-13 
   12       4.822905369898e-09       6.862381441922e-15       2.751733957355e-12       0.000000000000e+00       5.751911697884e-10       8.244163704250e-10       5.807178675610e-14 
   13       4.503720315745e-09       7.546475632254e-15       2.336254309810e-12       0.000000000000e+00       5.288432428089e-10       8.164531282876e-10       4.211899035365e-14 
   14       4.216290185278e-09       8.211565733786e-15       1.874434280671e-12       0.000000000000e+00       4.561028128334e-10       7.327113674576e-10      -3.389553735476e-14 
   15       3.956765557080e-09       8.906926254839e-15       1.417987923943e-12       0.000000000000e+00       3.958800238413e-10       6.565021570767e-10      -8.880602858396e-14 
   16       3.721482734609e-09       9.694128951147e-15       1.008529182033e-12       0.000000000000e+00       3.673597048535e-10       6.447851265908e-10      -1.132384798737e-13 
   17       3.507399379476e-09       1.060937089032e-14       6.526164343442e-13       0.000000000000e+00       3.184166930615e-10       5.688816590979e-10      -1.425065495048e-13 
   18       3.311825978646e-09       1.171930072725e-14       3.350756645843e-13       0.000000000000e+00       2.808353783310e-10       5.111019131197e-10      -1.655992154379e-13 
   19       3.134349736488e-09       1.303732890629e-14       3.723436436920e-14       0.000000000000e+00       2.578708761968e-10       4.812366785009e-10      -1.892525431032e-13 
   20       2.970923492907e-09       1.454162960437e-14      -2.637193633909e-13       0.000000000000e+00       2.335018964702e-10       4.413956896999e-10      -2.287781242477e-13 
   21       2.821086040075e-09       1.618964915470e-14      -5.652174289173e-13       0.000000000000e+00       2.100834339799e-10       4.013808482800e-10      -2.732081902332e-13 
   22       2.683198867525e-09       1.792142257093e-14      -8.565988065670e-13       0.000000000000e+00       1.947128914775e-10       3.832123010973e-10      -3.050527436025e-13 
   23       2.556531104136e-09       1.968497423423e-14      -1.129283312127e-12       0.000000000000e+00       1.827580250022e-10       3.729883854766e-10      -3.342955934804e-13 
   24       2.439150253506e-09       2.144415503203e-14      -1.376705797088e-12       0.000000000000e+00       1.666010123533e-10       3.478148185975e-10      -3.764919837744e-13 
   25       2.330505309627e-09       2.325820951352e-14      -1.597403356500e-12       0.000000000000e+00       1.499136471317e-10       3.185516156034e-10      -4.167508655017e-13 
   26       2.229488203231e-09       2.523008037871e-14      -1.793593282447e-12       0.000000000000e+00       1.390276045779e-10       3.041712217043e-10      -4.323712404395e-13 
   27       2.135694528277e-09       2.745838317688e-14      -1.970736059310e-12       0.000000000000e+00       1.314923488476e-10       2.973771613432e-10      -4.255799651487e-13 
   28       2.048315922704e-09       3.000889237401e-14      -2.136657203555e-12       0.000000000000e+00       1.224069510222e-10       2.836571445060e-10      -4.070102155549e-13 
   29       1.967316395067e-09       3.275309748417e-14      -2.297289696762e-12       0.000000000000e+00       1.118981673236e-10       2.634522289722e-10      -3.822437607940e-13 
   30       1.892129560354e-09       3.546246194555e-14      -2.459601309669e-12       0.000000000000e+00       1.019186316064e-10       2.427787575872e-10      -3.563633737756e-13 
   31       1.821572776298e-09       3.791536117135e-14      -2.629705934914e-12       0.000000000000e+00       9.434429290448e-11       2.275722009686e-10      -3.351985353794e-13 
   32       1.755587843421e-09       4.014091768020e-14      -2.801729764363e-12       0.000000000000e+00       8.891797535384e-11       2.173437309223e-10      -3.229319203103e-13 
   33       1.694020465030e-09       4.226913810886e-14      -2.964604134703e-12       0.000000000000e+00       8.450851303206e-11       2.090935337785e-10      -3.236762177394e-13 
