# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.095082283477e-08       4.262283533369e-16      -6.226881219054e-13       2.041568599673e-19       7.467454689756e-09       4.747308178385e-09      -3.378800335840e-13 
    3       9.996336016422e-09       9.897305653475e-16       1.628966468952e-12       4.083865530351e-19       4.506253083396e-09       3.362708845476e-09       3.291870233930e-13 
    4       9.150614827143e-09       2.429671306600e-15       3.859339758128e-12       6.808057555563e-19       3.072076767636e-09       2.607281415281e-09       7.447572848121e-13 
    5       8.384564018791e-09       4.106808205193e-15       5.182648041949e-12       1.021510551435e-18       2.252785271313e-09       2.124438173551e-09       8.614486960558e-13 
    6       7.692852475013e-09       5.168299403812e-15       5.470942022276e-12       1.430620032834e-18       1.731424963343e-09       1.784627147738e-09       7.707633208365e-13 
    7       7.071636554432e-09       5.453898199772e-15       5.068732227155e-12       1.908275471225e-18       1.375927581179e-09       1.531265910991e-09       5.963391436823e-13 
    8       6.515973931047e-09       5.369066115667e-15       4.429960465301e-12       2.454639185421e-18       1.121255533515e-09       1.334687476065e-09       4.279449558048e-13 
    9       6.019934598137e-09       5.364321585557e-15       3.859193698456e-12       3.069893051675e-18       9.317595279121e-10       1.177568568609e-09       3.005252791885e-13 
   10       5.576336314001e-09       5.650228816032e-15       3.439598765462e-12       3.754236606820e-18       7.864790820940e-10       1.049113761128e-09       2.087523898663e-13 
   11       5.178805623919e-09       6.196149782703e-15       3.103413050949e-12       4.507884706544e-18       6.679470695309e-10       9.155235847723e-10       1.286899433823e-13 
   12       4.822873161435e-09       6.866975109197e-15       2.751782268001e-12       5.331064717051e-18       5.751879530863e-10       8.244089194154e-10       5.851659382620e-14 
   13       4.503687703139e-09       7.554570694627e-15       2.336635433365e-12       6.224013238877e-18       5.288402831350e-10       8.164463470967e-10       4.289606835020e-14 
   14       4.216255909877e-09       8.225034797174e-15       1.875002252316e-12       7.186972385717e-18       4.561001132434e-10       7.327139772110e-10      -3.331969689056e-14 
   15       3.956718514493e-09       8.921375015040e-15       1.418155742657e-12       8.220185667578e-18       3.958775711161e-10       6.565097512835e-10      -8.840873554625e-14 
   16       3.721432052396e-09       9.705910213239e-15       1.008151561656e-12       9.323893555100e-18       3.673572910259e-10       6.447849413519e-10      -1.124442747287e-13 
   17       3.507341498263e-09       1.062040339369e-14       6.528942002213e-13       1.049832882912e-17       3.184141805021e-10       5.688702928773e-10      -1.410563272159e-13 
   18       3.311771225025e-09       1.172561347131e-14       3.351816234609e-13       1.174371203066e-17       2.808330103968e-10       5.110904856160e-10      -1.643077531153e-13 
   19       3.134305333084e-09       1.304294987833e-14       3.698949087499e-14       1.306024586160e-17       2.578688227699e-10       4.812343246766e-10      -1.890118987057e-13 
   20       2.970884028022e-09       1.456169525634e-14      -2.628606768510e-13       1.444811262810e-17       2.335000754370e-10       4.414026439672e-10      -2.299715377598e-13 
   21       2.821046996136e-09       1.622397236380e-14      -5.632480665614e-13       1.590746825724e-17       2.100817411840e-10       4.013910994479e-10      -2.751677432560e-13 
   22       2.683161373751e-09       1.794870962366e-14      -8.556135598275e-13       1.743843997247e-17       1.947112846378e-10       3.832159430676e-10      -3.060612701761e-13 
   23       2.556498013293e-09       1.969761067846e-14      -1.129641538013e-12       1.904112342633e-17       1.827564962341e-10       3.729825302839e-10      -3.334197267049e-13 
   24       2.439124503481e-09       2.145765749132e-14      -1.376157458991e-12       2.071558031208e-17       1.665995757289e-10       3.478066318317e-10      -3.742711556001e-13 
   25       2.330487882143e-09       2.328281680318e-14      -1.595125862754e-12       2.246184029356e-17       1.499122926312e-10       3.185473572601e-10      -4.144597445496e-13 
