# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.236077703463e-09       6.254751474236e-15       2.183995105102e-12       3.047943514203e-19       8.549859636058e-09       1.815175900811e-11      -2.255905890071e-12 
    3       1.202126228266e-09       7.984651727450e-15       2.379109509999e-12       6.096045744255e-19       5.286941010119e-09       7.253163137348e-11      -1.707953685014e-12 
    4       1.152449489756e-09       6.867139275807e-15       2.218077098300e-12       1.016045912125e-18       3.703767261254e-09       7.808795756678e-11      -1.116035572154e-12 
    5       1.100839257649e-09       4.530291516661e-15       1.883762980518e-12       1.524147737217e-18       2.782497693110e-09       7.182963753717e-11      -6.159424992531e-13 
    6       1.051133296430e-09       2.483225501274e-15       1.487522551833e-12       2.133953373420e-18       2.186346169265e-09       6.333001909792e-11      -2.454833702459e-13 
    7       1.004538541582e-09       1.315238229346e-15       1.101029866448e-12       2.845523868335e-18       1.773987633716e-09       5.507528379018e-11      -7.491598579772e-15 
    8       9.612478102270e-10       8.566507548681e-16       7.633534886144e-13       3.658941930463e-18       1.474077155639e-09       4.777997997375e-11       1.148299066911e-13 
    9       9.210634311672e-10       7.100600633059e-16       4.921341259071e-13       4.574315759328e-18       1.247296683415e-09       4.155721986064e-11       1.487054393472e-13 
   10       8.839754213048e-10       6.147981429132e-16       2.911272032019e-13       5.591782491548e-18       1.070685760449e-09       3.628110564224e-11       1.250541794295e-13 
   11       8.496977188416e-10       5.121099850584e-16       1.554717758059e-13       6.711510994173e-18       8.984781677130e-10       3.051631098262e-11       7.287101683756e-14 
   12       8.179711372942e-10       4.372835589803e-16       7.574729759642e-14       7.933703759342e-18       7.876400884340e-10       2.769754637139e-11       1.634177280022e-14 
   13       7.886451381739e-10       4.113262296553e-16       4.083757192373e-14       9.258597690667e-18       6.969668164981e-10       2.235492556784e-11      -3.009313164109e-14 
   14       7.615293370430e-10       4.127663103756e-16       3.963117389124e-14       1.068646362004e-17       6.208218168880e-10       2.090225700018e-11      -5.755889259423e-14 
   15       7.363947264231e-10       4.080404588060e-16       6.192267273924e-14       1.221760445170e-17       5.567175931347e-10       1.870246056905e-11      -6.606077662510e-14 
   16       7.131111000627e-10       3.843776757793e-16       9.884990004855e-14       1.385235189603e-17       5.025189455074e-10       1.382660128800e-11      -6.029496592300e-14 
   17       6.915076089722e-10       3.544271799927e-16       1.432920926621e-13       1.559106182514e-17       4.553852309743e-10       1.305496118010e-11      -4.408590127934e-14 
   18       6.714299004195e-10       3.398790488051e-16       1.896079315961e-13       1.743410911926e-17       4.143921484554e-10       1.235368896344e-11      -2.523552836040e-14 
   19       6.529864713211e-10       3.489680074942e-16       2.341722973560e-13       1.938187681498e-17       3.790644363355e-10       1.074257830772e-11      -8.392732833130e-15 
   20       6.357791455790e-10       3.832777076255e-16       2.737883415639e-13       2.143475642655e-17       3.478545997824e-10       9.428486297609e-12       3.139494613391e-15 
   21       6.198613323386e-10       4.370219359494e-16       3.068672523319e-13       2.359312904247e-17       3.202829123893e-10       8.445143738744e-12       8.755372839052e-15 
   22       6.051029136477e-10       5.012435212403e-16       3.326613185562e-13       2.585736660299e-17       2.957642302494e-10       7.438502730373e-12       9.246587977480e-15 
