# Matter power spectrum P(k) at redshift z=0
# for k=1.05187e-05 to 1.11903 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.744033898481e-02       1.687458722438e+04 
       1.759811421273e-02       1.683025089485e+04 
       1.775593070782e-02       1.678604735126e+04 
       1.791378889171e-02       1.673970281255e+04 
       1.807168920819e-02       1.669346963565e+04 
       1.822963212315e-02       1.664591730709e+04 
       1.838761812455e-02       1.659686701383e+04 
       1.854564772244e-02       1.654794066229e+04 
       1.870372144895e-02       1.649767066108e+04 
       1.886183985835e-02       1.644620987996e+04 
       1.902000352713e-02       1.639487304846e+04 
       1.917821305403e-02       1.634167363350e+04 
       1.933646906025e-02       1.628829794358e+04 
       1.949477218947e-02       1.623425744196e+04 
       1.965312310807e-02       1.617950665776e+04 
       1.981152250526e-02       1.612457809849e+04 
       1.996997109330e-02       1.606790613640e+04 
       2.012846960768e-02       1.601115769372e+04 
       2.028701880732e-02       1.595374481776e+04 
       2.044561947489e-02       1.589632265757e+04 
       2.060427241699e-02       1.583718893368e+04 
       2.076297846447e-02       1.577857070924e+04 
       2.092173847273e-02       1.571894455723e+04 
       2.108055332201e-02       1.565869952286e+04 
       2.123942391773e-02       1.559748388433e+04 
       2.139835119086e-02       1.553627839551e+04 
       2.155733609826e-02       1.547466700119e+04 
       2.171637962308e-02       1.541263583471e+04 
       2.187548277517e-02       1.535008203725e+04 
       2.203464659148e-02       1.528694568732e+04 
       2.219387213652e-02       1.522359202965e+04 
       2.235316050281e-02       1.516028213059e+04 
       2.251251281136e-02       1.509614173251e+04 
       2.267193021214e-02       1.503120431370e+04 
       2.283141388466e-02       1.496672422143e+04 
       2.299096503841e-02       1.490121445271e+04 
       2.315058491348e-02       1.483622083808e+04 
       2.331027478114e-02       1.476991910289e+04 
       2.347003594436e-02       1.470398774938e+04 
       2.362986973849e-02       1.463760923999e+04 
       2.378977753188e-02       1.457134440922e+04 
       2.394976072651e-02       1.450448065378e+04 
       2.410982075870e-02       1.443699201607e+04 
       2.426995909977e-02       1.436973367887e+04 
       2.443017725680e-02       1.430224028887e+04 
       2.459047677333e-02       1.423485240128e+04 
       2.475085923019e-02       1.416679969492e+04 
       2.491132624622e-02       1.409888781894e+04 
       2.507187947914e-02       1.403052848225e+04 
       2.523252062637e-02       1.396233730653e+04 
       2.539325142589e-02       1.389376059742e+04 
       2.555407365717e-02       1.382518969089e+04 
       2.571498914203e-02       1.375653710725e+04 
       2.587599974565e-02       1.368775078303e+04 
       2.603710737754e-02       1.361888153937e+04 
       2.619831399250e-02       1.354995268913e+04 
       2.635962159174e-02       1.348092766064e+04 
       2.652103222386e-02       1.341188235632e+04 
       2.668254798604e-02       1.334276789329e+04 
       2.684417102512e-02       1.327363686397e+04 
       2.700590353878e-02       1.320449004484e+04 
       2.716774777679e-02       1.313523705424e+04 
       2.732970604221e-02       1.306607385732e+04 
       2.749178069266e-02       1.299686297627e+04 
       2.765397414171e-02       1.292783882235e+04 
       2.781628886017e-02       1.285854231741e+04 
       2.797872737754e-02       1.278954652465e+04 
       2.814129228342e-02       1.272031836354e+04 
       2.830398622906e-02       1.265131417597e+04 
       2.846681192881e-02       1.258222517539e+04 
       2.862977216181e-02       1.251327722719e+04 
       2.879286977353e-02       1.244434629203e+04 
       2.895610767751e-02       1.237556156130e+04 
       2.911948885711e-02       1.230699604826e+04 
       2.928301636724e-02       1.223825798325e+04 
       2.944669333628e-02       1.216972901006e+04 
       2.961052296797e-02       1.210130931382e+04 
       2.977450854333e-02       1.203296401797e+04 
       2.993865342278e-02       1.196493375838e+04 
       3.010296104818e-02       1.189676506678e+04 
       3.026743494500e-02       1.182877314108e+04 
       3.043207872458e-02       1.176112608138e+04 
       3.059689608645e-02       1.169339070166e+04 
       3.076189082068e-02       1.162588105495e+04 
       3.092706681036e-02       1.155848959759e+04 
       3.109242803418e-02       1.149132128386e+04 
       3.125797856902e-02       1.142429907825e+04 
       3.142372259271e-02       1.135749059074e+04 
       3.158966438681e-02       1.129080002216e+04 
       3.175580833955e-02       1.122442261997e+04 
       3.192215894882e-02       1.115809090652e+04 
       3.208872082532e-02       1.109188376908e+04 
       3.225549869573e-02       1.102601748129e+04 
       3.242249740610e-02       1.096030749503e+04 
       3.258972192527e-02       1.089479939270e+04 
       3.275717734844e-02       1.082950344389e+04 
       3.292486890090e-02       1.076444855178e+04 
       3.309280194188e-02       1.069968138621e+04 
       3.326098196847e-02       1.063502586169e+04 
       3.342941461978e-02       1.057060768849e+04 
       3.359810568121e-02       1.050645172663e+04 
       3.376706108886e-02       1.044252077640e+04 
       3.393628693416e-02       1.037872408830e+04 
       3.410578946861e-02       1.031533273313e+04 
       3.427557510870e-02       1.025206356769e+04 
       3.444565044112e-02       1.018926469437e+04 
       3.461602222803e-02       1.012640535545e+04 
       3.478669741262e-02       1.006393517150e+04 
       3.495768312484e-02       1.000183246531e+04 
       3.512898668745e-02       9.939809797098e+03 
       3.530061562213e-02       9.878159221428e+03 
       3.547257765605e-02       9.816736162273e+03 
       3.564488072851e-02       9.755609231315e+03 
       3.581753299798e-02       9.694718175306e+03 
       3.599054284939e-02       9.634234107192e+03 
       3.616391890168e-02       9.573896188719e+03 
       3.633767001571e-02       9.513765465975e+03 
       3.651180530249e-02       9.454003404050e+03 
       3.668633413177e-02       9.394534942374e+03 
       3.686126614094e-02       9.335327968710e+03 
       3.703661124439e-02       9.276394761522e+03 
       3.721237964323e-02       9.217757697437e+03 
       3.738858183543e-02       9.159409814990e+03 
       3.756522862643e-02       9.101337837236e+03 
       3.774233114023e-02       9.043576799634e+03 
       3.791990083091e-02       8.986119108011e+03 
       3.809794949478e-02       8.928914518533e+03 
       3.827648928300e-02       8.872042506072e+03 
       3.845553271480e-02       8.815434208495e+03 
       3.863509269135e-02       8.759103420185e+03 
       3.881518251023e-02       8.703122048526e+03 
       3.899581588063e-02       8.647414078679e+03 
       3.917700693926e-02       8.591964970825e+03 
       3.935877026705e-02       8.536851977727e+03 
       3.954112090658e-02       8.482048594255e+03 
       3.972407438053e-02       8.427564393871e+03 
       3.990764671088e-02       8.373255395910e+03 
       4.009185443918e-02       8.319374814746e+03 
       4.027671464782e-02       8.265784857933e+03 
       4.046224498238e-02       8.212370911241e+03 
       4.064846367517e-02       8.159347284084e+03 
       4.083538956997e-02       8.106576048068e+03 
       4.102304214808e-02       8.054119481337e+03 
       4.121144155582e-02       8.001983988075e+03 
       4.140060863341e-02       7.950125566781e+03 
       4.159056494556e-02       7.898565738261e+03 
       4.178133281364e-02       7.847356862362e+03 
       4.197293534967e-02       7.796382580172e+03 
       4.216539649232e-02       7.745705679385e+03 
       4.235874104480e-02       7.695320841651e+03 
       4.255299471511e-02       7.645192893438e+03 
       4.274818415854e-02       7.595416377094e+03 
       4.294433702265e-02       7.545944009955e+03 
       4.314148199508e-02       7.496710844558e+03 
       4.333964885409e-02       7.447777198390e+03 
       4.353886852233e-02       7.399162707002e+03 
       4.373917312383e-02       7.350845143569e+03 
       4.394059604460e-02       7.302740421372e+03 
       4.414317199716e-02       7.254922516830e+03 
       4.434693708906e-02       7.207438645277e+03 
       4.455192889601e-02       7.160195028270e+03 
       4.475818653972e-02       7.113216096305e+03 
       4.496575077099e-02       7.066564733986e+03 
       4.517466405841e-02       7.020109333899e+03 
       4.538497068317e-02       6.974060224351e+03 
       4.559671684035e-02       6.928129054691e+03 
       4.580995074746e-02       6.882546821530e+03 
       4.602472276069e-02       6.837210477327e+03 
       4.624108549951e-02       6.792151754265e+03 
       4.645909398045e-02       6.747338634218e+03 
       4.667880576091e-02       6.702770762458e+03 
       4.690028109366e-02       6.658454235532e+03 
       4.712358309334e-02       6.614451096508e+03 
       4.734877791579e-02       6.570618601074e+03 
       4.757593495156e-02       6.527042458079e+03 
       4.780512703496e-02       6.483726696580e+03 
       4.803643067004e-02       6.440643713530e+03 
       4.826992627529e-02       6.397802067287e+03 
       4.850569844886e-02       6.355151668746e+03 
       4.874383625641e-02       6.312856406361e+03 
       4.898443354388e-02       6.270675835330e+03 
       4.922758927784e-02       6.228698622066e+03 
       4.947340791638e-02       6.187019411513e+03 
       4.972199981369e-02       6.145437684591e+03 
       4.997348166231e-02       6.104183127465e+03 
       5.022797697695e-02       6.063048151440e+03 
       5.048561662497e-02       6.022189937577e+03 
       5.074653940855e-02       5.981483528128e+03 
       5.101089270508e-02       5.940910953826e+03 
       5.127883317237e-02       5.900643768984e+03 
       5.155052752695e-02       5.860447872767e+03 
       5.182615340446e-02       5.820325758207e+03 
       5.210590031252e-02       5.780470177275e+03 
       5.238997068828e-02       5.740962378328e+03 
       5.267858107439e-02       5.701239745251e+03 
       5.297196342948e-02       5.661834838504e+03 
       5.327036659163e-02       5.622599663346e+03 
       5.357405791660e-02       5.583509754739e+03 
       5.388332511575e-02       5.544465002427e+03 
       5.419847832328e-02       5.505443331913e+03 
       5.451985242714e-02       5.466567968365e+03 
       5.484780970426e-02       5.427906898748e+03 
       5.518274280807e-02       5.389074982779e+03 
       5.552507816495e-02       5.350608575647e+03 
       5.587527984717e-02       5.311769000214e+03 
       5.623385400288e-02       5.273142031835e+03 
       5.660135393943e-02       5.234929226869e+03 
       5.697838597614e-02       5.196038603390e+03 
       5.736561620633e-02       5.157283153815e+03 
       5.776377833832e-02       5.118980295511e+03 
       5.817368282196e-02       5.080059216011e+03 
       5.859622751303e-02       5.041306633827e+03 
       5.903241018547e-02       5.002103234550e+03 
       5.948334327370e-02       4.962975268114e+03 
       5.995027131818e-02       4.923458709301e+03 
       6.043459170301e-02       4.883694693523e+03 
       6.093787942077e-02       4.843585268938e+03 
       6.146191678604e-02       4.803040681414e+03 
       6.200872925728e-02       4.762036051898e+03 
       6.258062882908e-02       4.720397921484e+03 
       6.318026684249e-02       4.678163745681e+03 
       6.381069854798e-02       4.635057906949e+03 
       6.447546236511e-02       4.590983222100e+03 
       6.517867752968e-02       4.545914925810e+03 
       6.592516470459e-02       4.499199597150e+03 
       6.672059511109e-02       4.451035128800e+03 
       6.757167468137e-02       4.400839922080e+03 
       6.848637031174e-02       4.348079545408e+03 
       6.947418479346e-02       4.292378851955e+03 
       7.054648394760e-02       4.233276013308e+03 
       7.171687104182e-02       4.169254357763e+03 
       7.300158449154e-02       4.099638800706e+03 
       7.441985630126e-02       4.022625672034e+03 
       7.599409777992e-02       3.936637484802e+03 
       7.774966279895e-02       3.839439749096e+03 
       7.971378193121e-02       3.728033874676e+03 
       8.191313203211e-02       3.599627564212e+03 
       8.436961262822e-02       3.452038523563e+03 
       8.709459493461e-02       3.283638041084e+03 
       9.008335048907e-02       3.095555377921e+03 
       9.331272827445e-02       2.892585836570e+03 
       9.674450622481e-02       2.681777756740e+03 
       1.003334979154e-01       2.472909535811e+03 
       1.040363203594e-01       2.275200381388e+03 
       1.078170602444e-01       2.095899939773e+03 
       1.116489739239e-01       1.939755502513e+03 
       1.155135505671e-01       1.808434487986e+03 
       1.193985866301e-01       1.701103917717e+03 
       1.232962857314e-01       1.615036522505e+03 
       1.272017649192e-01       1.546297269163e+03 
       1.311120034058e-01       1.490435407112e+03 
       1.350251464753e-01       1.442728242396e+03 
       1.389400605476e-01       1.398971332912e+03 
       1.428560546553e-01       1.355612435401e+03 
       1.467727082535e-01       1.310039206840e+03 
       1.506897655648e-01       1.260826345682e+03 
       1.546070710414e-01       1.207651944735e+03 
       1.585245300506e-01       1.150981776609e+03 
       1.624420849651e-01       1.092177043514e+03 
       1.663597006345e-01       1.033096574928e+03 
       1.702773555637e-01       9.753841682727e+02 
       1.741950365568e-01       9.207873855928e+02 
       1.781127354659e-01       8.705662652497e+02 
       1.820304472168e-01       8.255738693806e+02 
       1.859481686108e-01       7.861052010320e+02 
       1.898658975962e-01       7.520732799264e+02 
       1.937836328260e-01       7.229777346419e+02 
       1.977013733883e-01       6.980985600457e+02 
       2.016191186425e-01       6.765657324586e+02 
       2.055368681189e-01       6.573646178674e+02 
       2.094546214572e-01       6.396284167456e+02 
       2.133723783692e-01       6.225258100131e+02 
       2.172901386150e-01       6.054723403413e+02 
       2.212079019887e-01       5.880063452299e+02 
       2.251256683091e-01       5.699236801387e+02 
       2.290434374135e-01       5.512998595131e+02 
       2.329612091541e-01       5.320104571526e+02 
       2.368789833954e-01       5.126576208089e+02 
       2.407967600122e-01       4.935937180746e+02 
       2.447145388879e-01       4.751167304434e+02 
       2.486323199141e-01       4.574831999994e+02 
       2.525501029895e-01       4.409280611678e+02 
       2.564678880192e-01       4.255604309194e+02 
       2.603856749140e-01       4.114720665172e+02 
       2.643034635904e-01       3.986305810305e+02 
       2.682212539696e-01       3.869206420723e+02 
       2.721390459775e-01       3.761774846043e+02 
       2.760568395442e-01       3.662024759321e+02 
       2.799746346039e-01       3.567585054081e+02 
       2.838924310943e-01       3.477139888659e+02 
       2.878102289565e-01       3.389292327206e+02 
       2.917280281350e-01       3.303450632769e+02 
       2.956458285771e-01       3.219103524386e+02 
       2.995636302328e-01       3.135889671827e+02 
       3.034814330548e-01       3.053652788331e+02 
       3.073992369983e-01       2.972202985846e+02 
       3.113170420207e-01       2.891690821184e+02 
       3.152348480814e-01       2.812479251957e+02 
       3.191526551421e-01       2.735184511675e+02 
       3.230704631661e-01       2.660526195028e+02 
       3.269882721186e-01       2.588957913646e+02 
       3.309060819665e-01       2.521031746509e+02 
       3.348238926780e-01       2.456840162155e+02 
       3.387417042231e-01       2.396008226047e+02 
       3.426595165730e-01       2.338225549545e+02 
       3.465773297002e-01       2.283179633815e+02 
       3.504951435786e-01       2.230444338924e+02 
       3.544129581831e-01       2.179798419094e+02 
       3.583307734898e-01       2.131030631601e+02 
       3.622485894757e-01       2.083974717712e+02 
       3.661664061190e-01       2.038198445692e+02 
       3.700842233985e-01       1.993588893837e+02 
       3.740020412944e-01       1.949842610393e+02 
       3.779198597872e-01       1.906829852545e+02 
       3.818376788585e-01       1.864590027179e+02 
       3.857554984907e-01       1.823274216434e+02 
       3.896733186666e-01       1.782989974650e+02 
       3.935911393700e-01       1.743875389343e+02 
       3.975089605852e-01       1.705993152778e+02 
       4.014267822971e-01       1.669395180328e+02 
       4.053446044914e-01       1.633872028256e+02 
       4.092624271539e-01       1.599493048906e+02 
       4.131802502715e-01       1.566191011891e+02 
       4.170980738311e-01       1.534000725476e+02 
       4.210158978204e-01       1.502946322508e+02 
       4.249337222275e-01       1.473022647332e+02 
       4.288515470409e-01       1.444151874494e+02 
       4.327693722493e-01       1.416195328855e+02 
       4.366871978423e-01       1.388989015813e+02 
       4.406050238095e-01       1.362431243615e+02 
       4.445228501409e-01       1.336376184617e+02 
       4.484406768269e-01       1.310815059566e+02 
       4.523585038584e-01       1.285853004337e+02 
       4.562763312263e-01       1.261504337982e+02 
       4.601941589221e-01       1.237788699151e+02 
       4.641119869374e-01       1.214693114189e+02 
       4.680298152641e-01       1.192196100083e+02 
       4.719476438944e-01       1.170190077574e+02 
       4.758654728209e-01       1.148751954635e+02 
       4.797833020362e-01       1.127843651984e+02 
