# Matter power spectrum P(k) at redshift z=0
# for k=1.06175e-05 to 1.01957 h/Mpc,
# number of wavenumbers equal to 516
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.280331763786e-02       1.007213586837e+04 
       2.300008397552e-02       1.000696248796e+04 
       2.319690157002e-02       9.941640954760e+03 
       2.339377118813e-02       9.876490264389e+03 
       2.359069362149e-02       9.811361784123e+03 
       2.378766968673e-02       9.746351080874e+03 
       2.398470022576e-02       9.681391987046e+03 
       2.418178610603e-02       9.616527878710e+03 
       2.437892822077e-02       9.551804741606e+03 
       2.457612748927e-02       9.487091120816e+03 
       2.477338485726e-02       9.422385267734e+03 
       2.497070129720e-02       9.357883028468e+03 
       2.516807780861e-02       9.293554467462e+03 
       2.536551541849e-02       9.229335795735e+03 
       2.556301518169e-02       9.165244693065e+03 
       2.576057818130e-02       9.101520896113e+03 
       2.595820552912e-02       9.037754166920e+03 
       2.615589836608e-02       8.974007442684e+03 
       2.635365786270e-02       8.910551368895e+03 
       2.655148521962e-02       8.847448960729e+03 
       2.674938166805e-02       8.784295933076e+03 
       2.694734847035e-02       8.721486454736e+03 
       2.714538692054e-02       8.658747075363e+03 
       2.734349834489e-02       8.596419230180e+03 
       2.754168410248e-02       8.534199336012e+03 
       2.773994558584e-02       8.472016015509e+03 
       2.793828422156e-02       8.410252758570e+03 
       2.813670147096e-02       8.348687302922e+03 
       2.833519883072e-02       8.287361830213e+03 
       2.853377783363e-02       8.226272994245e+03 
       2.873244004927e-02       8.165419783874e+03 
       2.893118708475e-02       8.104842859594e+03 
       2.913002058550e-02       8.044482906493e+03 
       2.932894223602e-02       7.984403388817e+03 
       2.952795376074e-02       7.924600478239e+03 
       2.972705692481e-02       7.865049138012e+03 
       2.992625353498e-02       7.805854907440e+03 
       3.012554544050e-02       7.746771776667e+03 
       3.032493453403e-02       7.688022083045e+03 
       3.052442275255e-02       7.629680557188e+03 
       3.072401207839e-02       7.571422241397e+03 
       3.092370454020e-02       7.513661293882e+03 
       3.112350221395e-02       7.456063846617e+03 
       3.132340722405e-02       7.398712805340e+03 
       3.152342174440e-02       7.341770587560e+03 
       3.172354799952e-02       7.285083172631e+03 
       3.192378826572e-02       7.228759026138e+03 
       3.212414487228e-02       7.172589314632e+03 
       3.232462020268e-02       7.116801668657e+03 
       3.252521669586e-02       7.061347695457e+03 
       3.272593684753e-02       7.006317177024e+03 
       3.292678321150e-02       6.951472463797e+03 
       3.312775840104e-02       6.896901146516e+03 
       3.332886509034e-02       6.842697670006e+03 
       3.353010601594e-02       6.788849664987e+03 
       3.373148397823e-02       6.735321111279e+03 
       3.393300184303e-02       6.682088401203e+03 
       3.413466254315e-02       6.629202185329e+03 
       3.433646908007e-02       6.576651325249e+03 
       3.453842452559e-02       6.524388962927e+03 
       3.474053202360e-02       6.472479650567e+03 
       3.494279479190e-02       6.420970860270e+03 
       3.514521612398e-02       6.369674920987e+03 
       3.534779939101e-02       6.318767432447e+03 
       3.555054804375e-02       6.268260699698e+03 
       3.575346561460e-02       6.218033642258e+03 
       3.595655571969e-02       6.168095836957e+03 
       3.615982206102e-02       6.118484212319e+03 
       3.636326842870e-02       6.069329087390e+03 
       3.656689870323e-02       6.020428561353e+03 
       3.677071685787e-02       5.971861135539e+03 
       3.697472696106e-02       5.923689128670e+03 
       3.717893317896e-02       5.875803999156e+03 
       3.738333977805e-02       5.828281978723e+03 
       3.758795112779e-02       5.781082097697e+03 
       3.779277170337e-02       5.734254909320e+03 
       3.799780608864e-02       5.687744527521e+03 
       3.820305897896e-02       5.641567885890e+03 
       3.840853518433e-02       5.595751973052e+03 
       3.861423963251e-02       5.550318132552e+03 
       3.882017737225e-02       5.505131321677e+03 
       3.902635357670e-02       5.460339954873e+03 
       3.923277354683e-02       5.415873981839e+03 
       3.943944271507e-02       5.371767062532e+03 
       3.964636664901e-02       5.328013199905e+03 
       3.985355105525e-02       5.284539773088e+03 
       4.006100178334e-02       5.241459115268e+03 
       4.026872482996e-02       5.198699489692e+03 
       4.047672634314e-02       5.156241493833e+03 
       4.068501262666e-02       5.114129527242e+03 
       4.089359014465e-02       5.072428137500e+03 
       4.110246552631e-02       5.031018926430e+03 
       4.131164557080e-02       4.989933155059e+03 
       4.152113725231e-02       4.949188465560e+03 
       4.173094772538e-02       4.908743585417e+03 
       4.194108433029e-02       4.868648836423e+03 
       4.215155459876e-02       4.828893619640e+03 
       4.236236625982e-02       4.789489030706e+03 
       4.257352724590e-02       4.750387765251e+03 
       4.278504569915e-02       4.711593601760e+03 
       4.299692997802e-02       4.673172279918e+03 
       4.320918866407e-02       4.635058011923e+03 
       4.342183056906e-02       4.597211460368e+03 
       4.363486474232e-02       4.559755574818e+03 
       4.384830047839e-02       4.522628972567e+03 
       4.406214732497e-02       4.485790560207e+03 
       4.427641509123e-02       4.449277409239e+03 
       4.449111385639e-02       4.413069881458e+03 
       4.470625397869e-02       4.377187388712e+03 
       4.492184610473e-02       4.341621516583e+03 
       4.513790117914e-02       4.306364014127e+03 
       4.535443045479e-02       4.271428371763e+03 
       4.557144550325e-02       4.236791490114e+03 
       4.578895822582e-02       4.202459410499e+03 
       4.600698086501e-02       4.168436180651e+03 
       4.622552601647e-02       4.134727454692e+03 
       4.644460664153e-02       4.101310104629e+03 
       4.666423608014e-02       4.068176369852e+03 
