# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08693 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345411774032e-02       2.461402708272e+04 
       1.358278772389e-02       2.465863582432e+04 
       1.371149398733e-02       2.470092200404e+04 
       1.384023663966e-02       2.474109624593e+04 
       1.396901581299e-02       2.477908289676e+04 
       1.409783166216e-02       2.481508609500e+04 
       1.422668436436e-02       2.484903684762e+04 
       1.435557411883e-02       2.488089507328e+04 
       1.448450114662e-02       2.491076716454e+04 
       1.461346569033e-02       2.493867249861e+04 
       1.474246801390e-02       2.496468632811e+04 
       1.487150840239e-02       2.498867264902e+04 
       1.500058716191e-02       2.501074770174e+04 
       1.512970461941e-02       2.503096776247e+04 
       1.525886112259e-02       2.504935065768e+04 
       1.538805703986e-02       2.506587073964e+04 
       1.551729276023e-02       2.508056845990e+04 
       1.564656869331e-02       2.509349397344e+04 
       1.577588526929e-02       2.510462167917e+04 
       1.590524293894e-02       2.511336325385e+04 
       1.603464217363e-02       2.512180098844e+04 
       1.616408346541e-02       2.512787604288e+04 
       1.629356732704e-02       2.513215407861e+04 
       1.642309429211e-02       2.513480472734e+04 
       1.655266491510e-02       2.513583784049e+04 
       1.668227977157e-02       2.513533424843e+04 
       1.681193945825e-02       2.513317570134e+04 
       1.694164459321e-02       2.512957204621e+04 
       1.707139581603e-02       2.512429622489e+04 
       1.720119378804e-02       2.511752793469e+04 
       1.733103919246e-02       2.510925889861e+04 
       1.746093273467e-02       2.509956505568e+04 
       1.759087514246e-02       2.508839668323e+04 
       1.772086716627e-02       2.507575758133e+04 
       1.785090957947e-02       2.506179861565e+04 
       1.798100317868e-02       2.504554277037e+04 
       1.811114878404e-02       2.502962286320e+04 
       1.824134723957e-02       2.501066881033e+04 
       1.837159941349e-02       2.499119912224e+04 
       1.850190619862e-02       2.497042939699e+04 
       1.863226851271e-02       2.494914961053e+04 
       1.876268729886e-02       2.492580971483e+04 
       1.889316352593e-02       2.490061901860e+04 
       1.902369818897e-02       2.487531141036e+04 
       1.915429230967e-02       2.484826177210e+04 
       1.928494693680e-02       2.481895709705e+04 
