# Matter power spectrum P(k) at redshift z=0
# for k=1.23488e-05 to 1.02215 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.958640098390e-02       1.365702681621e+04 
       1.975966766920e-02       1.364729960181e+04 
       1.993297934839e-02       1.363606299331e+04 
       2.010633658832e-02       1.362431139142e+04 
       2.027973997875e-02       1.361206265169e+04 
       2.045319013242e-02       1.359801603702e+04 
       2.062668768509e-02       1.358390679168e+04 
       2.080023329572e-02       1.356812575375e+04 
       2.097382764655e-02       1.355180837686e+04 
       2.114747144328e-02       1.353492777258e+04 
       2.132116541526e-02       1.351685612869e+04 
       2.149491031566e-02       1.349770385725e+04 
       2.166870692168e-02       1.347839537833e+04 
       2.184255603484e-02       1.345759422767e+04 
       2.201645848115e-02       1.343669681145e+04 
       2.219041511145e-02       1.341433944980e+04 
       2.236442680168e-02       1.339167573918e+04 
       2.253849445319e-02       1.336814648546e+04 
       2.271261899304e-02       1.334397519776e+04 
       2.288680137439e-02       1.331903156702e+04 
       2.306104257687e-02       1.329376981632e+04 
       2.323534360690e-02       1.326711805471e+04 
       2.340970549817e-02       1.324016208239e+04 
       2.358412931200e-02       1.321256474723e+04 
       2.375861613781e-02       1.318462878615e+04 
       2.393316709358e-02       1.315570489821e+04 
       2.410778332630e-02       1.312621116954e+04 
       2.428246601249e-02       1.309609002429e+04 
       2.445721635871e-02       1.306548105820e+04 
       2.463203560209e-02       1.303397477718e+04 
       2.480692501089e-02       1.300242702230e+04 
       2.498188588505e-02       1.296992211920e+04 
       2.515691955682e-02       1.293699279325e+04 
       2.533202739135e-02       1.290361842215e+04 
       2.550721078732e-02       1.286969374608e+04 
       2.568247117764e-02       1.283547287896e+04 
       2.585781003007e-02       1.280047073903e+04 
       2.603322884795e-02       1.276510457431e+04 
       2.620872917093e-02       1.272924441564e+04 
       2.638431257569e-02       1.269306538380e+04 
       2.655998067674e-02       1.265624960247e+04 
       2.673573512720e-02       1.261916317888e+04 
       2.691157761962e-02       1.258169623472e+04 
       2.708750988680e-02       1.254374718833e+04 
       2.726353370270e-02       1.250528116973e+04 
       2.743965088332e-02       1.246655025861e+04 
       2.761586328762e-02       1.242759775041e+04 
       2.779217281846e-02       1.238796735578e+04 
       2.796858142360e-02       1.234827524226e+04 
       2.814509109670e-02       1.230796856490e+04 
       2.832170387839e-02       1.226747825935e+04 
       2.849842185726e-02       1.222661101438e+04 
       2.867524717108e-02       1.218547154927e+04 
