# Matter power spectrum P(k) at redshift z=0
# for k=5.98241e-06 to 1.00266 h/Mpc,
# number of wavenumbers equal to 705
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.982408221613e-06       2.233303585063e+02 
       1.187229051205e-05       4.330124050492e+02 
       1.776719358262e-05       6.392040379482e+02 
       2.367042790170e-05       8.433264501060e+02 
       2.958531675475e-05       1.046105308103e+03 
       3.551520245779e-05       1.248009511121e+03 
       4.146345261770e-05       1.449383886531e+03 
       4.743346645787e-05       1.650504294226e+03 
       5.342868122777e-05       1.851604237769e+03 
       5.945257871496e-05       2.052889847887e+03 
       6.550869187834e-05       2.254548695876e+03 
       7.160061162170e-05       2.456755545599e+03 
       7.773199372662e-05       2.659676190645e+03 
       8.390656596405e-05       2.863470197555e+03 
       9.012813540421e-05       3.068292936185e+03 
       9.640059594457e-05       3.274297029248e+03 
       1.027279360758e-04       3.481633714996e+03 
       1.091142469061e-04       3.690453720924e+03 
       1.155637304633e-04       3.900908162638e+03 
       1.220807082969e-04       4.113149058377e+03 
       1.286696303978e-04       4.327330445941e+03 
       1.353350844582e-04       4.543608188217e+03 
       1.420818054901e-04       4.762141517915e+03 
       1.489146858222e-04       4.983092431943e+03 
       1.558387854945e-04       5.206627039661e+03 
       1.628593430674e-04       5.432915572518e+03 
       1.699817868628e-04       5.662132934750e+03 
       1.772117466517e-04       5.894459164206e+03 
       1.845550658009e-04       6.130079872044e+03 
       1.920178138903e-04       6.369186685733e+03 
       1.996062998064e-04       6.611977775942e+03 
       2.073270853159e-04       6.858657837114e+03 
       2.151869991182e-04       7.109439424115e+03 
       2.231931513688e-04       7.364542877906e+03 
       2.313529486598e-04       7.624196235058e+03 
       2.396741094359e-04       7.888636965004e+03 
       2.481646798131e-04       8.158111722916e+03 
       2.568330497586e-04       8.432586818441e+03 
       2.656879695761e-04       8.711588422085e+03 
       2.747385666248e-04       8.996337859037e+03 
       2.839943621868e-04       9.287115058251e+03 
       2.934652883734e-04       9.584211074058e+03 
       3.031617049431e-04       9.887928223850e+03 
       3.130944158760e-04       1.019858053859e+04 
       3.232746855218e-04       1.051649428562e+04 
       3.337142541102e-04       1.084200810783e+04 
       3.444253523733e-04       1.117547204945e+04 
       3.554207149979e-04       1.151725068011e+04 
       3.667135925801e-04       1.186772251711e+04 
       3.783177617141e-04       1.222727629853e+04 
       3.902475328030e-04       1.259631575031e+04 
       4.025177551274e-04       1.297525765751e+04 
       4.151438186667e-04       1.336453223853e+04 
       4.281416521152e-04       1.376458121058e+04 
       4.415277164945e-04       1.417585889117e+04 
       4.553189937217e-04       1.459883153928e+04 
       4.695329694598e-04       1.503397427439e+04 
       4.841876095539e-04       1.548177528041e+04 
       4.993013293458e-04       1.594272794668e+04 
       5.148929551665e-04       1.641733481379e+04 
       5.309816773346e-04       1.690609853302e+04 
       5.475869940394e-04       1.740953504072e+04 
       5.647286455732e-04       1.792814543870e+04 
       5.824265384903e-04       1.846244309858e+04 
       6.007006594246e-04       1.901293140779e+04 
       6.195709784894e-04       1.958010130827e+04 
       6.390573424121e-04       2.016443423112e+04 
       6.591793578296e-04       2.076640086531e+04 
       6.799562654716e-04       2.138644500590e+04 
       7.014068062927e-04       2.202499091246e+04 
       7.235490809656e-04       2.268243121502e+04 
       7.464004045037e-04       2.335912945124e+04 
       7.699771581292e-04       2.405540736124e+04 
       7.942946408219e-04       2.477154820693e+04 
       8.193669232533e-04       2.550779001974e+04 
       8.452067070174e-04       2.626431392246e+04 
       8.718251921825e-04       2.704125936903e+04 
       8.992319562053e-04       2.783870255657e+04 
       9.274348471469e-04       2.865665417518e+04 
       9.564398939089e-04       2.949507874930e+04 
       9.862512358699e-04       3.035385912303e+04 
       1.016871073852e-03       3.123284080773e+04 
       1.048299643807e-03       3.213177240886e+04 
       1.080535213997e-03       3.305037963083e+04 
       1.113574105800e-03       3.398829435297e+04 
       1.147410737604e-03       3.494510634557e+04 
       1.182037690623e-03       3.592034742216e+04 
       1.217445794890e-03       3.691350367461e+04 
       1.253624233188e-03       3.792400897395e+04 
       1.290560660275e-03       3.895125858793e+04 
       1.328241334512e-03       3.999458098521e+04 
       1.366651258812e-03       4.105334185129e+04 
       1.405774327832e-03       4.212679346034e+04 
       1.445593478387e-03       4.321424560540e+04 
       1.486090840245e-03       4.431491937140e+04 
       1.527247884720e-03       4.542808037621e+04 
       1.569045568785e-03       4.655294558923e+04 
       1.611464472792e-03       4.768874799785e+04 
       1.654484930224e-03       4.883471751412e+04 
       1.698087148307e-03       4.999008598477e+04 
       1.742251318633e-03       5.115409284633e+04 
       1.786957717282e-03       5.232599459541e+04 
       1.832186794234e-03       5.350504763080e+04 
       1.877919252085e-03       5.469054072560e+04 
       1.924136114329e-03       5.588175810168e+04 
       1.970818783612e-03       5.707802720012e+04 
       2.017949090497e-03       5.827867927255e+04 
       2.065509333383e-03       5.948306953090e+04 
       2.113482310274e-03       6.069058124431e+04 
       2.161851343133e-03       6.190061082212e+04 
       2.210600295556e-03       6.311257902412e+04 
       2.259713584508e-03       6.432596995151e+04 
       2.309176186823e-03       6.554020855188e+04 
       2.358973641145e-03       6.675480452556e+04 
       2.409092045952e-03       6.796932490769e+04 
       2.459518054232e-03       6.918319015237e+04 
       2.510238865359e-03       7.039609447367e+04 
       2.561242214658e-03       7.160751213841e+04 
       2.612516361073e-03       7.281709048277e+04 
       2.664050073356e-03       7.402443779282e+04 
       2.715832615082e-03       7.522871392201e+04 
       2.767853728823e-03       7.642859686803e+04 
       2.820103619711e-03       7.762672108743e+04 
       2.872572938625e-03       7.882103572502e+04 
       2.925252765184e-03       8.001126843610e+04 
       2.978134590721e-03       8.119780114951e+04 
       3.031210301339e-03       8.238002910852e+04 
       3.084472161197e-03       8.355741360312e+04 
       3.137912796081e-03       8.473066379276e+04 
       3.191525177357e-03       8.589915681051e+04 
       3.245302606343e-03       8.706160377024e+04 
       3.299238699159e-03       8.821820530453e+04 
       3.353327372073e-03       8.936929837216e+04 
       3.407562827371e-03       9.051413445022e+04 
       3.461939539765e-03       9.165305579005e+04 
       3.516452243346e-03       9.278558726070e+04 
       3.571095919083e-03       9.391148615951e+04 
       3.625865782855e-03       9.503111497343e+04 
       3.680757274029e-03       9.614381033786e+04 
       3.735766044557e-03       9.725136628543e+04 
       3.790887948585e-03       9.835010472541e+04 
       3.846119032556e-03       9.944156398468e+04 
       3.901455525803e-03       1.005260055357e+05 
       3.956893831602e-03       1.016030672012e+05 
       4.012430518667e-03       1.026728419031e+05 
       4.068062313086e-03       1.037349116305e+05 
       4.123786090660e-03       1.047892433609e+05 
       4.179598869641e-03       1.058358426718e+05 
       4.235497803840e-03       1.068746532074e+05 
       4.291480176102e-03       1.079057616889e+05 
       4.347543392114e-03       1.089288748008e+05 
       4.403684974548e-03       1.099436659020e+05 
       4.459902557498e-03       1.109506113960e+05 
       4.516193881227e-03       1.119494069199e+05 
       4.572556787182e-03       1.129401129781e+05 
       4.628989213274e-03       1.139225548846e+05 
       4.685489189413e-03       1.148967130885e+05 
       4.742054833274e-03       1.158626100549e+05 
       4.798684346293e-03       1.168201531723e+05 
       4.855376009871e-03       1.177692777925e+05 
       4.912128181785e-03       1.187097552430e+05 
       4.968939292782e-03       1.196421570942e+05 
       5.025807843360e-03       1.205659028857e+05 
       5.082732400718e-03       1.214809569234e+05 
       5.139711595862e-03       1.223877773583e+05 
       5.196744120872e-03       1.232859149296e+05 
       5.253828726307e-03       1.241755523021e+05 
       5.310964218752e-03       1.250563951274e+05 
       5.368149458486e-03       1.259290089840e+05 
