# Matter power spectrum P(k) at redshift z=0
# for k=7.85922e-06 to 1.24012 h/Mpc,
# number of wavenumbers equal to 660
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.859218365664e-06       1.050981396970e+02 
       1.622948946097e-05       2.117515374492e+02 
       2.461341946062e-05       3.166280209912e+02 
       3.302052225757e-05       4.205556387022e+02 
       4.146038310837e-05       5.239741389194e+02 
       4.994269480055e-05       6.271845631230e+02 
       5.847729434806e-05       7.304226042822e+02 
       6.707420042965e-05       8.338886020966e+02 
       7.574365178659e-05       9.377621688315e+02 
       8.449614679837e-05       1.042210466057e+03 
       9.334248445729e-05       1.147393264400e+03 
       1.022938069657e-04       1.253466213930e+03 
       1.113616441819e-04       1.360583345269e+03 
       1.205579601436e-04       1.468898809652e+03 
       1.298952018968e-04       1.578568374759e+03 
       1.393863508591e-04       1.689750499409e+03 
       1.490449769428e-04       1.802607735435e+03 
       1.588852956536e-04       1.917307290713e+03 
       1.689222283743e-04       2.034022317984e+03 
       1.791714660200e-04       2.152932498406e+03 
       1.896495362281e-04       2.274225092652e+03 
       2.003738742121e-04       2.398095780508e+03 
       2.113628973559e-04       2.524749396344e+03 
       2.226360835642e-04       2.654400948125e+03 
       2.342140533011e-04       2.787276391176e+03 
       2.461186551390e-04       2.923613559252e+03 
       2.583730545085e-04       3.063663061831e+03 
       2.710018251675e-04       3.207689106625e+03 
       2.840310427021e-04       3.355970475672e+03 
       2.974883791141e-04       3.508801307033e+03 
       3.114031972458e-04       3.666492017179e+03 
       3.258066434257e-04       3.829369966021e+03 
       3.407317362881e-04       3.997780261717e+03 
       3.562134492239e-04       4.172086304416e+03 
       3.722887833510e-04       4.352670219739e+03 
       3.889968272605e-04       4.539933170652e+03 
       4.063787991075e-04       4.734295299929e+03 
       4.244780658870e-04       4.936195688770e+03 
       4.433401339988e-04       5.146091123250e+03 
       4.630126045038e-04       5.364376909373e+03 
       4.835450858650e-04       5.591370102842e+03 
       5.049890565295e-04       5.827795344742e+03 
       5.273976695370e-04       6.074161725044e+03 
       5.508254915578e-04       6.330984554141e+03 
       5.753281694856e-04       6.598781140399e+03 
       6.009620190750e-04       6.878065678935e+03 
       6.277835322328e-04       7.169342504001e+03 
       6.558488025265e-04       7.473100332885e+03 
       6.852128722916e-04       7.789803675720e+03 
       7.159290093262e-04       8.119884244575e+03 
       7.480479263832e-04       8.463733631322e+03 
       7.816169621956e-04       8.821692089143e+03 
       8.166792481530e-04       9.194040962081e+03 
       8.532728894397e-04       9.580994958953e+03 
       8.914301928393e-04       9.982692491795e+03 
       9.311769749201e-04       1.039919025910e+04 
       9.725319834784e-04       1.083045833815e+04 
       1.015506461672e-03       1.127637803999e+04 
       1.060103878283e-03       1.173673724147e+04 
       1.106319839371e-03       1.221123581323e+04 
       1.154142186876e-03       1.269948514401e+04 
       1.203551279490e-03       1.320102008193e+04 
       1.254520441194e-03       1.371529503030e+04 
       1.307016554393e-03       1.424170245480e+04 
       1.361000768136e-03       1.477957840767e+04 
       1.416429288079e-03       1.532821385218e+04 
       1.473254213693e-03       1.588686334115e+04 
       1.531424389506e-03       1.645475690309e+04 
       1.590886240568e-03       1.703111087430e+04 
       1.651584567078e-03       1.761513983542e+04 
       1.713463278720e-03       1.820605575494e+04 
       1.776466055060e-03       1.880308635337e+04 
       1.840536923836e-03       1.940547728749e+04 
       1.905620753885e-03       2.001249365755e+04 
       1.971663663449e-03       2.062342218238e+04 
       2.038613347744e-03       2.123759351311e+04 
       2.106419331861e-03       2.185435698342e+04 
       2.175033156482e-03       2.247309530704e+04 
       2.244408504596e-03       2.309323455413e+04 
       2.314501277569e-03       2.371421828584e+04 
       2.385269628671e-03       2.433554126607e+04 
       2.456673961655e-03       2.495671820417e+04 
       2.528676901289e-03       2.557730224954e+04 
       2.601243241946e-03       2.619687054379e+04 
       2.674339879575e-03       2.681503558996e+04 
       2.747935731556e-03       2.743143609770e+04 
       2.822001648235e-03       2.804574012398e+04 
       2.896510319251e-03       2.865762263720e+04 
