# Matter power spectrum P(k) at redshift z=0
# for k=1.39614e-05 to 1.00932 h/Mpc,
# number of wavenumbers equal to 537
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.396136967682e-05       2.163000244596e+01 
       3.564848832913e-05       5.349799322147e+01 
       5.752384620484e-05       8.493155743611e+01 
       7.975476941382e-05       1.164474341919e+02 
       1.025156495930e-04       1.483955530855e+02 
       1.259923173656e-04       1.810846623248e+02 
       1.503867593444e-04       2.148184039403e+02 
       1.759223321989e-04       2.499130597494e+02 
       2.028496197272e-04       2.867099837549e+02 
       2.314530593561e-04       3.255861706502e+02 
       2.620584202707e-04       3.669645168416e+02 
       2.950411265132e-04       4.113240334159e+02 
       3.308352551375e-04       4.592099750330e+02 
       3.699427605745e-04       5.112431842854e+02 
       4.129420313049e-04       5.681274335509e+02 
       4.604942268751e-04       6.306522619085e+02 
       5.133449631056e-04       6.996883235766e+02 
       5.723179083659e-04       7.761704157131e+02 
       6.382960344414e-04       8.610632086119e+02 
       7.121862610849e-04       9.553050620662e+02 
       7.948649685207e-04       1.059729075645e+03 
       8.871061681902e-04       1.174965381044e+03 
       9.895008912495e-04       1.301340825914e+03 
       1.102383452657e-03       1.438796038492e+03 
       1.225783582730e-03       1.586845015509e+03 
       1.359419206709e-03       1.744593589681e+03 
       1.502733041251e-03       1.910813652636e+03 
       1.654962548394e-03       2.084057702715e+03 
       1.815224273495e-03       2.262784622956e+03 
       1.982593649628e-03       2.445473214442e+03 
       2.156167865116e-03       2.630704778664e+03 
       2.335107538303e-03       2.817211903569e+03 
       2.518659016561e-03       3.003898190486e+03 
       2.706162002221e-03       3.189839305934e+03 
       2.897047607519e-03       3.374270778445e+03 
       3.090831054515e-03       3.556572481834e+03 
       3.287101992569e-03       3.736247843592e+03 
       3.485514291138e-03       3.912905081095e+03 
       3.685776340045e-03       4.086240279122e+03 
       3.887642346387e-03       4.256021435129e+03 
       4.090904791721e-03       4.422076525717e+03 
       4.295388035122e-03       4.584281742750e+03 
       4.500942961436e-03       4.742552989734e+03 
       4.707442541069e-03       4.896838249450e+03 
       4.914778163386e-03       5.047111715293e+03 
       5.122856615635e-03       5.193367926851e+03 
       5.331597594843e-03       5.335620508436e+03 
       5.540931656976e-03       5.473894624392e+03 
       5.750798523652e-03       5.608227709383e+03 
       5.961145680763e-03       5.738666363135e+03 
