# format: first line must contain (num_ombh2,num_lambda_G), 
# other lines must contain (ombh2,lambda_G,YHe)
# Beware, omegab = 8*pi*G_6.67*rho_b*h^2/(3*H_0^2), lambda_G not taken into account in this definition !

51 33

0.01279 0.70 0.17980
0.01316 0.70 0.18010
0.01352 0.70 0.18039
0.01389 0.70 0.18067
0.01425 0.70 0.18093
0.01462 0.70 0.18121
0.01498 0.70 0.18146
0.01535 0.70 0.18171
0.01571 0.70 0.18195
0.01608 0.70 0.18218
0.01645 0.70 0.18241
0.01681 0.70 0.18264
0.01718 0.70 0.18285
0.01754 0.70 0.18306
0.01791 0.70 0.18326
0.01827 0.70 0.18346
0.01864 0.70 0.18366
0.01900 0.70 0.18386
0.01937 0.70 0.18405
0.01973 0.70 0.18424
0.02010 0.70 0.18442
0.02046 0.70 0.18459
0.02083 0.70 0.18476
0.02120 0.70 0.18494
0.02156 0.70 0.18509
0.02193 0.70 0.18527
0.02229 0.70 0.18544
0.02266 0.70 0.18560
0.02302 0.70 0.18575
0.02339 0.70 0.18591
0.02375 0.70 0.18606
0.02412 0.70 0.18619
0.02448 0.70 0.18635
0.02485 0.70 0.18650
0.02522 0.70 0.18663
0.02558 0.70 0.18677
0.02595 0.70 0.18692
0.02631 0.70 0.18704
0.02668 0.70 0.18717
0.02704 0.70 0.18732
0.02741 0.70 0.18745
0.02777 0.70 0.18756
0.02814 0.70 0.18770
0.02850 0.70 0.18781
0.02887 0.70 0.18795
0.02923 0.70 0.18807
0.02960 0.70 0.18820
0.02997 0.70 0.18832
0.03033 0.70 0.18842
0.03070 0.70 0.18853
0.03106 0.70 0.18863
0.01279 0.75 0.19139
0.01316 0.75 0.19169
0.01352 0.75 0.19197
0.01389 0.75 0.19226
0.01425 0.75 0.19254
0.01462 0.75 0.19280
0.01498 0.75 0.19305
0.01535 0.75 0.19330
0.01571 0.75 0.19355
0.01608 0.75 0.19378
0.01644 0.75 0.19401
0.01681 0.75 0.19423
0.01717 0.75 0.19445
0.01754 0.75 0.19466
0.01791 0.75 0.19486
0.01827 0.75 0.19507
0.01864 0.75 0.19528
0.01900 0.75 0.19546
0.01937 0.75 0.19565
0.01973 0.75 0.19582
0.02010 0.75 0.19603
0.02046 0.75 0.19620
0.02083 0.75 0.19638
0.02119 0.75 0.19655
0.02156 0.75 0.19672
0.02192 0.75 0.19687
0.02229 0.75 0.19704
0.02266 0.75 0.19720
0.02302 0.75 0.19736
0.02339 0.75 0.19752
0.02375 0.75 0.19766
0.02412 0.75 0.19780
0.02448 0.75 0.19795
0.02485 0.75 0.19810
0.02521 0.75 0.19824
0.02558 0.75 0.19839
0.02594 0.75 0.19852
0.02631 0.75 0.19867
0.02667 0.75 0.19880
0.02704 0.75 0.19891
0.02741 0.75 0.19904
0.02777 0.75 0.19918
0.02814 0.75 0.19930
0.02850 0.75 0.19942
0.02887 0.75 0.19955
0.02923 0.75 0.19966
0.02960 0.75 0.19980
0.02996 0.75 0.19991
0.03033 0.75 0.20002
0.03069 0.75 0.20013
0.03106 0.75 0.20025
0.01279 0.80 0.20239
0.01315 0.80 0.20269
0.01352 0.80 0.20299
0.01389 0.80 0.20326
0.01425 0.80 0.20353
0.01462 0.80 0.20381
0.01498 0.80 0.20406
0.01535 0.80 0.20430
0.01571 0.80 0.20455
0.01608 0.80 0.20478
0.01644 0.80 0.20503
0.01681 0.80 0.20523
0.01717 0.80 0.20546
0.01754 0.80 0.20567
0.01790 0.80 0.20588
0.01827 0.80 0.20608
0.01863 0.80 0.20628
0.01900 0.80 0.20647
0.01937 0.80 0.20666
0.01973 0.80 0.20686
0.02010 0.80 0.20703
0.02046 0.80 0.20721
0.02083 0.80 0.20738
0.02119 0.80 0.20756
0.02156 0.80 0.20772
0.02192 0.80 0.20788
0.02229 0.80 0.20805
0.02265 0.80 0.20820
0.02302 0.80 0.20836
0.02338 0.80 0.20852
0.02375 0.80 0.20867
0.02412 0.80 0.20883
0.02448 0.80 0.20897
0.02485 0.80 0.20910
0.02521 0.80 0.20925
0.02558 0.80 0.20938
0.02594 0.80 0.20952
0.02631 0.80 0.20965
0.02667 0.80 0.20978
0.02704 0.80 0.20993
0.02740 0.80 0.21004
0.02777 0.80 0.21017
0.02813 0.80 0.21030
0.02850 0.80 0.21042
0.02886 0.80 0.21054
0.02923 0.80 0.21066
0.02960 0.80 0.21078
0.02996 0.80 0.21090
0.03033 0.80 0.21101
0.03069 0.80 0.21114
0.03106 0.80 0.21126
0.01279 0.83 0.20871
0.01315 0.83 0.20903
0.01352 0.83 0.20932
0.01388 0.83 0.20959
0.01425 0.83 0.20987
0.01462 0.83 0.21013
0.01498 0.83 0.21038
0.01535 0.83 0.21065
0.01571 0.83 0.21088
0.01608 0.83 0.21111
0.01644 0.83 0.21137
0.01681 0.83 0.21157
0.01717 0.83 0.21178
0.01754 0.83 0.21200
0.01790 0.83 0.21221
0.01827 0.83 0.21242
0.01863 0.83 0.21261
0.01900 0.83 0.21282
0.01936 0.83 0.21300
0.01973 0.83 0.21319
0.02010 0.83 0.21337
0.02046 0.83 0.21355
0.02083 0.83 0.21372
0.02119 0.83 0.21389
0.02156 0.83 0.21405
0.02192 0.83 0.21423
0.02229 0.83 0.21439
0.02265 0.83 0.21454
0.02302 0.83 0.21469
0.02338 0.83 0.21485
0.02375 0.83 0.21499
0.02411 0.83 0.21516
0.02448 0.83 0.21529
0.02484 0.83 0.21543
0.02521 0.83 0.21558
0.02558 0.83 0.21573
0.02594 0.83 0.21586
0.02631 0.83 0.21598
0.02667 0.83 0.21612
